report_date,yesterday_purchase,yesterday_redeem,week1,week2,week3,week4,day_of_week,day_of_month,shouldwork
20130701,,,,,,,1,1,
20130702,22533121,1238748,,,,,2,2,
20130703,29624840,3215499,,,,,3,3,
20130704,22525940,4385918,,,,,4,4,
20130705,32111643,12845583,,,,,5,5,
20130706,16129924,2551703,,,,,6,6,
20130707,16179865,2289341,,,,,7,7,
20130708,15516443,4363341,22533121,,,,1,8,
20130709,98730828,15888356,29624840,,,,2,9,
20130710,18623071,11374271,22525940,,,,3,10,
20130711,42210154,18319144,32111643,,,,4,11,
20130712,29843023,2158990,16129924,,,,5,12,
20130713,23202473,4829301,16179865,,,,6,13,
20130714,19218553,2218978,15516443,,,,7,14,
20130715,101209093,3375744,98730828,22533121,,,1,15,
20130716,106271409,25375610,18623071,29624840,,,2,16,
20130717,26323198,32164805,42210154,22525940,,,3,17,
20130718,28834269,26631817,29843023,32111643,,,4,18,
20130719,27609385,8142301,23202473,16129924,,,5,19,
20130720,126301368,3413665,19218553,16179865,,,6,20,
20130721,20662791,4557888,101209093,15516443,,,7,21,
20130722,81375803,7068179,106271409,98730828,22533121,,1,22,
20130723,37844074,9073308,26323198,18623071,29624840,,2,23,
20130724,25115410,8675669,28834269,42210154,22525940,,3,24,
20130725,29405789,9348626,27609385,29843023,32111643,,4,25,
20130726,123922858,62652056,126301368,23202473,16129924,,5,26,
20130727,25835746,11721842,20662791,19218553,16179865,,6,27,
20130728,31021548,5723416,81375803,101209093,15516443,,7,28,
20130729,26260152,32887218,37844074,106271409,98730828,22533121,1,29,
20130730,59130418,14375762,25115410,26323198,18623071,29624840,2,30,
20130731,35410500,16427906,29405789,28834269,42210154,22525940,3,31,
20130801,122942064,13151366,123922858,27609385,29843023,32111643,4,1,
20130802,61905830,6159040,25835746,126301368,23202473,16129924,5,2,
20130803,73104389,20410883,31021548,20662791,19218553,16179865,6,3,
20130804,31370682,24942267,26260152,81375803,101209093,15516443,7,4,
20130805,45251520,16648439,59130418,37844074,106271409,98730828,1,5,
20130806,51533056,123111835,35410500,25115410,26323198,18623071,2,6,
20130807,27348705,23304219,122942064,29405789,28834269,42210154,3,7,
20130808,24953363,13675014,61905830,123922858,27609385,29843023,4,8,
20130809,44702970,10561475,73104389,25835746,126301368,23202473,5,9,
20130810,46197838,15546146,31370682,31021548,20662791,19218553,6,10,
20130811,44403831,41942573,45251520,26260152,81375803,101209093,7,11,
20130812,42840984,5443051,51533056,59130418,37844074,106271409,1,12,
20130813,33901418,43533052,27348705,35410500,25115410,26323198,2,13,
20130814,45856548,29325894,24953363,122942064,29405789,28834269,3,14,
20130815,39066415,23721318,44702970,61905830,123922858,27609385,4,15,
20130816,29238678,21981558,46197838,73104389,25835746,126301368,5,16,
20130817,54635823,58314359,44403831,31370682,31021548,20662791,6,17,
20130818,15688245,51457176,42840984,45251520,26260152,81375803,7,18,
20130819,45069353,35585574,33901418,51533056,59130418,37844074,1,19,
20130820,48319110,27409347,45856548,27348705,35410500,25115410,2,20,
20130821,51304276,27002747,39066415,24953363,122942064,29405789,3,21,
20130822,45762636,18370111,29238678,44702970,61905830,123922858,4,22,
20130823,26545809,18620771,54635823,46197838,73104389,25835746,5,23,
20130824,33855284,16009856,15688245,44403831,31370682,31021548,6,24,
20130825,54574111,14426635,45069353,42840984,45251520,26260152,7,25,
20130826,17586501,12426430,48319110,33901418,51533056,59130418,1,26,
20130827,52044963,16794905,51304276,45856548,27348705,35410500,2,27,
20130828,49273164,23573930,45762636,39066415,24953363,122942064,3,28,
20130829,57249467,68685109,26545809,29238678,44702970,61905830,4,29,
20130830,31008331,29996101,33855284,54635823,46197838,73104389,5,30,
20130831,29172174,17631447,54574111,15688245,44403831,31370682,6,31,
