report_date,yesterday_purchase,yesterday_redeem,week1,week2,week3,week4,day_of_week,day_of_month,shouldwork
20140901,205369438,159162656,283116043,280533543,284695009,254890053,1,1,1
20140902,,,,,,,2,2,1
20140903,,,,,,,3,3,1
20140904,,,,,,,4,4,1
20140905,,,,,,,5,5,1
20140906,,,,,,,6,6,0
20140907,,,,,,,7,7,0
20140908,,,,,,,1,8,0
20140909,,,,,,,2,9,1
20140910,,,,,,,3,10,1
20140911,,,,,,,4,11,1
20140912,,,,,,,5,12,1
20140913,,,,,,,6,13,0
20140914,,,,,,,7,14,0
20140915,,,,,,,1,15,1
20140916,,,,,,,2,16,1
20140917,,,,,,,3,17,1
20140918,,,,,,,4,18,1
20140919,,,,,,,5,19,1
20140920,,,,,,,6,20,0
20140921,,,,,,,7,21,0
20140922,,,,,,,1,22,1
20140923,,,,,,,2,23,1
20140924,,,,,,,3,24,1
20140925,,,,,,,4,25,1
20140926,,,,,,,5,26,1
20140927,,,,,,,6,27,0
20140928,,,,,,,7,28,1
20140929,,,,,,,1,29,1
20140930,,,,,,,2,30,1
