report_date,yesterday_purchase,yesterday_redeem,week1,week2,week3,week4,day_of_week,day_of_month,isweekend,mfd_daily_yield,mfd_7daily_yield,Interest_1_M,shouldwork
20140901,205369438,159162656,264492485,385940924,385895199,248676024,1,1,0,1.1171,4.2,4.057,1
20140902,,,,,,,2,2,0,1.1011,4.224,4.096,1
20140903,,,,,,,3,3,0,1.1226,4.23,4.033,1
20140904,,,,,,,4,4,0,1.1086,4.22,3.97,1
20140905,,,,,,,5,5,0,1.1759,4.218,3.965,1
20140906,,,,,,,6,6,1,1.1534,4.18,3.965,0
20140907,,,,,,,7,7,1,1.1118,4.183,3.965,0
20140908,,,,,,,1,8,0,1.162,4.181,3.965,0
20140909,,,,,,,2,9,0,1.1118,4.166,3.93,1
20140910,,,,,,,3,10,0,1.1045,4.166,3.892,1
20140911,,,,,,,4,11,0,1.1047,4.166,3.906,1
20140912,,,,,,,5,12,0,1.105,4.166,3.992,1
20140913,,,,,,,6,13,1,1.1604,4.166,3.992,0
20140914,,,,,,,7,14,1,1.1072,4.151,3.992,0
20140915,,,,,,,1,15,0,1.1341,4.154,4.008,1
20140916,,,,,,,2,16,0,1.1118,4.151,4.014,1
20140917,,,,,,,3,17,0,1.1046,4.148,4.06,1
20140918,,,,,,,4,18,0,1.1047,4.149,4.18,1
20140919,,,,,,,5,19,0,1.1054,4.15,4.31,1
20140920,,,,,,,6,20,1,1.1327,4.158,4.31,0
20140921,,,,,,,7,21,1,1.1127,4.154,4.31,0
20140922,,,,,,,1,22,0,1.1291,4.155,4.277,1
20140923,,,,,,,2,23,0,1.1058,4.143,4.098,1
20140924,,,,,,,3,24,0,1.106,4.151,4,1
20140925,,,,,,,4,25,0,1.1064,4.158,3.998,1
20140926,,,,,,,5,26,0,1.1205,4.166,4.012,1
20140927,,,,,,,6,27,1,1.1256,4.164,4.012,0
20140928,,,,,,,7,28,1,1.1151,4.153,4.057,1
20140929,,,,,,,1,29,0,1.107,4.149,4.006,1
20140930,,,,,,,2,30,0,1.1192,4.15,3.998,1
