report_date,yesterday_purchase,yesterday_redeem,week1,week2,week3,week4,day_of_week,day_of_month,isweekend
2014-04-01,377931423,497687416,362444778,341931886,267437055,278261421,2,1,0
2014-04-02,424784984,280407782,257938486,414884867,298538230,275381156,3,2,0
2014-04-03,418550858,234601543,326543305,304013906,255918695,366030834,4,3,0
2014-04-04,301858010,259172151,372161003,280963645,270497983,274009352,5,4,0
2014-04-05,235574221,171218775,138171183,200897470,242196362,157996615,6,5,1
2014-04-06,171320519,130175071,256893459,160853972,188184766,169872578,7,6,1
2014-04-07,132973045,86148848,497687416,318658552,420064650,296534165,1,7,0
2014-04-08,237413785,151211943,280407782,362444778,341931886,267437055,2,8,0
2014-04-09,360613734,241500693,234601543,257938486,414884867,298538230,3,9,0
2014-04-10,465391689,301919971,259172151,326543305,304013906,255918695,4,10,0
2014-04-11,325897532,292651452,171218775,372161003,280963645,270497983,5,11,0
2014-04-12,275556141,263431235,130175071,138171183,200897470,242196362,6,12,1
2014-04-13,198643801,177456118,86148848,256893459,160853972,188184766,7,13,1
2014-04-14,202424482,199455537,151211943,497687416,318658552,420064650,1,14,0
2014-04-15,359340606,315904149,241500693,280407782,362444778,341931886,2,15,0
2014-04-16,337278983,333481946,301919971,234601543,257938486,414884867,3,16,0
2014-04-17,344518277,258644563,292651452,259172151,326543305,304013906,4,17,0
2014-04-18,268273324,259158950,263431235,171218775,372161003,280963645,5,18,0
2014-04-19,297030419,212558260,177456118,130175071,138171183,200897470,6,19,1
2014-04-20,131860659,161932743,199455537,86148848,256893459,160853972,7,20,1
2014-04-21,161634908,175154181,315904149,151211943,497687416,318658552,1,21,0
2014-04-22,381369739,416482875,333481946,241500693,280407782,362444778,2,22,0
2014-04-23,268322472,329994810,258644563,301919971,234601543,257938486,3,23,0
2014-04-24,262963640,289670313,259158950,292651452,259172151,326543305,4,24,0
2014-04-25,203798291,348965167,212558260,263431235,171218775,372161003,5,25,0
2014-04-26,320373050,231507912,161932743,177456118,130175071,138171183,6,26,1
2014-04-27,184640194,110439209,175154181,199455537,86148848,256893459,7,27,1
2014-04-28,167611543,241292798,416482875,315904149,151211943,497687416,1,28,0
2014-04-29,285236269,413667536,329994810,333481946,241500693,280407782,2,29,0
2014-04-30,303772841,340918574,289670313,258644563,301919971,234601543,3,30,0
2014-05-01,232262878,274590040,348965167,259158950,292651452,259172151,4,1,0
2014-05-02,197451051,113440731,231507912,212558260,263431235,171218775,5,2,0
2014-05-03,129869154,103269793,110439209,161932743,177456118,130175071,6,3,1
2014-05-04,229609301,174430184,241292798,175154181,199455537,86148848,7,4,1
2014-05-05,297192156,282088123,413667536,416482875,315904149,151211943,1,5,0
2014-05-06,425987710,324920452,340918574,329994810,333481946,241500693,2,6,0
2014-05-07,323536443,295986647,274590040,289670313,258644563,301919971,3,7,0
2014-05-08,406395515,221742769,113440731,348965167,259158950,292651452,4,8,0
2014-05-09,353562072,267751934,103269793,231507912,212558260,263431235,5,9,0
2014-05-10,265472393,158473997,174430184,110439209,161932743,177456118,6,10,1
2014-05-11,227672886,258495276,282088123,241292798,175154181,199455537,7,11,1
2014-05-12,208480221,142970887,324920452,413667536,416482875,315904149,1,12,0
2014-05-13,285228437,338432936,295986647,340918574,329994810,333481946,2,13,0
2014-05-14,362372059,250343867,221742769,274590040,289670313,258644563,3,14,0
2014-05-15,290208996,297491596,267751934,113440731,348965167,259158950,4,15,0
