report_date,total_purchase_amt
20140401,61868019.466
20140402,30694125.5353
20140403,9486565.42664
20140404,-11663378.8459
20140405,-40278398.7276
20140406,-71046800.6469
20140407,-75150385.1338
20140408,34396281.3174
20140409,60486240.2935
20140410,17468903.5873
20140411,48494668.8609
20140412,-21199075.0913
20140413,9145527.61604
20140414,34691996.7977
20140415,-28361084.945
20140416,-49330139.7291
20140417,-34841494.8044
20140418,58541249.2016
20140419,-87191257.9441
20140420,5893994.05944
20140421,50803804.1598
20140422,-98590901.6068
20140423,-84306387.481
20140424,-77294886.1654
20140425,102374871.54
20140426,-32055516.2272
20140427,9031427.01801
20140428,-34730211.253
20140429,-20564106.1708
20140430,-137193501.568
20140501,-26281914.9521
20140502,-98300008.5472
20140503,89741491.9464
20140504,80401997.4708
20140505,113062145.433
20140506,-20721752.0618
20140507,54570031.4135
20140508,49706349.0458
20140509,28848429.9519
20140510,21258481.1946
20140511,-24247032.7804
20140512,-50146491.148
20140513,40072105.2552
20140514,-104574269.278
20140515,70638923.8245
20140516,-3676541.61764
20140517,-86877387.0759
20140518,-14315465.4569
20140519,10859231.984
20140520,-46093731.8499
20140521,-86662203.8141
20140522,23758455.8382
20140523,-32206045.5337
20140524,-31973963.448
20140525,-11806960.7122
20140526,-47855250.5925
20140527,-45490151.3878
20140528,-52096654.7489
20140529,94252793.9172
20140530,19712475.8261
20140531,-53464629.554
20140601,-25437649.4586
20140602,-131797591.562
20140603,30271252.0369
20140604,-63006978.1288
20140605,82264995.8326
20140606,37958510.9427
20140607,-41172059.136
20140608,21749245.7452
20140609,141872640.447
20140610,37736230.4629
20140611,-5417035.65066
20140612,-17541696.0075
20140613,33430763.0966
20140614,-73211318.2457
20140615,43317934.6579
20140616,12468290.4989
20140617,2678145.92993
20140618,-62507481.6696
20140619,18244096.3283
20140620,4792152.82654
20140621,-10426995.2485
20140622,-43243242.9539
20140623,18381516.2115
20140624,-34114253.2208
20140625,-37824974.8355
20140626,-39655126.6321
20140627,-1525626.36069
20140628,-13910873.9233
20140629,-4856314.49273
20140630,47688506.9001
20140701,50150279.4682
20140702,-32070042.9182
20140703,-50526012.3687
20140704,36498120.2153
20140705,-56644362.2434
20140706,4166672.62929
20140707,34489832.2101
20140708,-97091492.0618
20140709,-20085393.283
20140710,8400567.33339
20140711,44298581.6757
20140712,-39654231.9876
20140713,-25740879.9085
20140714,-42641274.9981
20140715,2563439.03242
20140716,-29544242.8057
20140717,13334185.6713
20140718,5298554.40614
20140719,-29780321.1781
20140720,4591109.28597
20140721,-40471406.4191
20140722,-62344359.5729
20140723,4127125.10904
20140724,-3485759.73015
20140725,37817220.426
20140726,12918900.4068
20140727,-20883396.976
20140728,-7115723.30135
20140729,29573038.8351
20140730,-67877305.8409
20140731,6865968.31632
