report_date,yesterday_purchase,yesterday_redeem,week1,week2,week3,week4,day_of_week,day_of_month,isweekend
2014-05-01,232262878,274590040,203798291,268273324,325897532,301858010,4,1,0
2014-05-02,197451051,113440731,320373050,297030419,275556141,235574221,5,2,0
2014-05-03,129869154,103269793,184640194,131860659,198643801,171320519,6,3,1
2014-05-04,229609301,174430184,167611543,161634908,202424482,132973045,7,4,1
2014-05-05,297192156,282088123,285236269,381369739,359340606,237413785,1,5,0
2014-05-06,425987710,324920452,303772841,268322472,337278983,360613734,2,6,0
2014-05-07,323536443,295986647,232262878,262963640,344518277,465391689,3,7,0
2014-05-08,406395515,221742769,197451051,203798291,268273324,325897532,4,8,0
2014-05-09,353562072,267751934,129869154,320373050,297030419,275556141,5,9,0
2014-05-10,265472393,158473997,229609301,184640194,131860659,198643801,6,10,1
2014-05-11,227672886,258495276,297192156,167611543,161634908,202424482,7,11,1
2014-05-12,208480221,142970887,425987710,285236269,381369739,359340606,1,12,0
2014-05-13,285228437,338432936,323536443,303772841,268322472,337278983,2,13,0
2014-05-14,362372059,250343867,406395515,232262878,262963640,344518277,3,14,0
2014-05-15,290208996,297491596,353562072,197451051,203798291,268273324,4,15,0
2014-05-16,303286621,435249186,265472393,129869154,320373050,297030419,5,16,0
2014-05-17,254644568,200510199,227672886,229609301,184640194,131860659,6,17,1
2014-05-18,116291491,179594252,208480221,297192156,167611543,161634908,7,18,1
2014-05-19,161097108,145479624,285228437,425987710,285236269,381369739,1,19,0
2014-05-20,347718384,422101826,362372059,323536443,303772841,268322472,2,20,0
2014-05-21,286615315,197106347,290208996,406395515,232262878,262963640,3,21,0
2014-05-22,241015636,292385050,303286621,353562072,197451051,203798291,4,22,0
2014-05-23,273390048,295631432,254644568,265472393,129869154,320373050,5,23,0
2014-05-24,200156003,223981714,116291491,227672886,229609301,184640194,6,24,1
2014-05-25,141641047,233305829,161097108,208480221,297192156,167611543,7,25,1
2014-05-26,169866612,147245163,347718384,285228437,425987710,285236269,1,26,0
2014-05-27,266803815,415178334,286615315,362372059,323536443,303772841,2,27,0
2014-05-28,249676185,369000169,241015636,290208996,406395515,232262878,3,28,0
2014-05-29,268930576,381785376,273390048,303286621,353562072,197451051,4,29,0
2014-05-30,339227554,402129748,200156003,254644568,265472393,129869154,5,30,0
2014-05-31,248860973,276489019,141641047,116291491,227672886,229609301,6,31,1
2014-06-01,128370165,153225467,169866612,161097108,208480221,297192156,7,1,1
2014-06-02,143942297,111076626,266803815,347718384,285228437,425987710,1,2,0
2014-06-03,176770324,157408750,249676185,286615315,362372059,323536443,2,3,0
2014-06-04,285424724,372184784,268930576,241015636,290208996,406395515,3,4,0
2014-06-05,275697613,327061084,339227554,273390048,303286621,353562072,4,5,0
2014-06-06,309000179,302841375,248860973,200156003,254644568,265472393,5,6,0
2014-06-07,255880246,217295228,128370165,141641047,116291491,227672886,6,7,1
2014-06-08,155141863,206165504,143942297,169866612,161097108,208480221,7,8,1
2014-06-09,181144835,180076832,176770324,266803815,347718384,285228437,1,9,0
2014-06-10,442360742,241085611,285424724,249676185,286615315,362372059,2,10,0
2014-06-11,389636668,282137606,275697613,268930576,241015636,290208996,3,11,0
2014-06-12,311384505,277431859,309000179,339227554,273390048,303286621,4,12,0
2014-06-13,267188252,256164551,255880246,248860973,200156003,254644568,5,13,0
2014-06-14,256177180,284281673,155141863,128370165,141641047,116291491,6,14,1
2014-06-15,148539864,289810759,181144835,143942297,169866612,161097108,7,15,1
2014-06-16,201999390,217992393,442360742,176770324,266803815,347718384,1,16,0
2014-06-17,336917078,383963086,389636668,285424724,249676185,286615315,2,17,0
2014-06-18,324524255,331341050,311384505,275697613,268930576,241015636,3,18,0
2014-06-19,266480068,358972950,267188252,309000179,339227554,273390048,4,19,0
2014-06-20,282577514,322086055,256177180,255880246,248860973,200156003,5,20,0
2014-06-21,226974141,333222993,148539864,155141863,128370165,141641047,6,21,1
2014-06-22,186364721,169065467,201999390,181144835,143942297,169866612,7,22,1
2014-06-23,143403001,232029485,336917078,442360742,176770324,266803815,1,23,0
2014-06-24,304220528,444554691,324524255,389636668,285424724,249676185,2,24,0
2014-06-25,298405851,342707532,266480068,311384505,275697613,268930576,3,25,0
2014-06-26,271335080,319358448,282577514,267188252,309000179,339227554,4,26,0
2014-06-27,223576983,498151313,226974141,256177180,255880246,248860973,5,27,0
2014-06-28,186455771,307276813,186364721,148539864,155141863,128370165,6,28,1
2014-06-29,181197896,199382031,143403001,201999390,181144835,143942297,7,29,1
2014-06-30,171945311,238934317,304220528,336917078,442360742,176770324,1,30,0
2014-07-01,331665096,425796747,298405851,324524255,389636668,285424724,2,1,0
2014-07-02,379361211,358485374,271335080,266480068,311384505,275697613,3,2,0
2014-07-03,301263008,364268994,223576983,282577514,267188252,309000179,4,3,0
2014-07-04,205360896,257959811,186455771,226974141,256177180,255880246,5,4,0
2014-07-05,221546458,253548445,181197896,186364721,148539864,155141863,6,5,1
2014-07-06,162447667,168602028,171945311,143403001,201999390,181144835,7,6,1
2014-07-07,163090528,250453540,331665096,304220528,336917078,442360742,1,7,0
2014-07-08,330300280,332660498,379361211,298405851,324524255,389636668,2,8,0
2014-07-09,237821679,363952447,301263008,271335080,266480068,311384505,3,9,0
2014-07-10,254180106,308883169,205360896,223576983,282577514,267188252,4,10,0
2014-07-11,277110154,322207184,221546458,186455771,226974141,256177180,5,11,0
2014-07-12,233743113,266630674,162447667,181197896,186364721,148539864,6,12,1
2014-07-13,149584303,173485119,163090528,171945311,143403001,201999390,7,13,1
2014-07-14,142610813,218339981,330300280,331665096,304220528,336917078,1,14,0
2014-07-15,246080213,272164963,237821679,379361211,298405851,324524255,2,15,0
2014-07-16,299355385,369452520,254180106,301263008,271335080,266480068,3,16,0
2014-07-17,277080654,278415089,277110154,205360896,223576983,282577514,4,17,0
2014-07-18,254493213,204597291,233743113,221546458,186455771,226974141,5,18,0
2014-07-19,191967546,162854740,149584303,162447667,181197896,186364721,6,19,1
2014-07-20,153934641,122809272,142610813,163090528,171945311,143403001,7,20,1
2014-07-21,174324225,157986108,246080213,330300280,331665096,304220528,1,21,0
2014-07-22,241509367,325273684,299355385,237821679,379361211,298405851,2,22,0
2014-07-23,222479621,307691465,277080654,254180106,301263008,271335080,3,23,0
2014-07-24,281820273,289004852,254493213,277110154,205360896,223576983,4,24,0
2014-07-25,257332381,284291000,191967546,233743113,221546458,186455771,5,25,0
2014-07-26,203397102,233005216,153934641,149584303,162447667,181197896,6,26,1
2014-07-27,198457820,152163398,174324225,142610813,163090528,171945311,7,27,1
2014-07-28,162389176,281734449,241509367,246080213,330300280,331665096,1,28,0
2014-07-29,253136439,393656353,222479621,299355385,237821679,379361211,2,29,0
2014-07-30,325692942,185509598,281820273,277080654,254180106,301263008,3,30,0
2014-07-31,239088792,278053927,257332381,254493213,277110154,205360896,4,31,0
2014-08-01,228056623,269628521,203397102,191967546,233743113,221546458,5,1,0
2014-08-02,378242546,282593743,198457820,153934641,149584303,162447667,6,2,1
2014-08-03,152120792,162090956,162389176,174324225,142610813,163090528,7,3,1
2014-08-04,154077981,121165959,253136439,241509367,246080213,330300280,1,4,0
2014-08-05,254890053,248676024,325692942,222479621,299355385,237821679,2,5,0
2014-08-06,311680953,278473251,239088792,281820273,277080654,254180106,3,6,0
2014-08-07,269143684,247713799,228056623,257332381,254493213,277110154,4,7,0
2014-08-08,256485155,283816788,378242546,203397102,191967546,233743113,5,8,0
2014-08-09,228097887,204391027,152120792,198457820,153934641,149584303,6,9,1
2014-08-10,146751994,143619719,154077981,162389176,174324225,142610813,7,10,1
2014-08-11,164174384,223625820,254890053,253136439,241509367,246080213,1,11,0
2014-08-12,284695009,385895199,311680953,325692942,222479621,299355385,2,12,0
2014-08-13,260705801,254258310,269143684,239088792,281820273,277080654,3,13,0
2014-08-14,262139305,308734578,256485155,228056623,257332381,254493213,4,14,0
2014-08-15,248894735,252702796,228097887,378242546,203397102,191967546,5,15,0
2014-08-16,268968079,221094668,146751994,152120792,198457820,153934641,6,16,1
2014-08-17,158553438,158797400,164174384,154077981,162389176,174324225,7,17,1
2014-08-18,161198309,194379633,284695009,254890053,253136439,241509367,1,18,0
2014-08-19,280533543,385940924,260705801,311680953,325692942,222479621,2,19,0
2014-08-20,236052637,247704409,262139305,269143684,239088792,281820273,3,20,0
2014-08-21,209205785,244720592,248894735,256485155,228056623,257332381,4,21,0
2014-08-22,234392568,185570807,268968079,228097887,378242546,203397102,5,22,0
2014-08-23,182566127,232911054,158553438,146751994,152120792,198457820,6,23,1
2014-08-24,154613502,196780196,161198309,164174384,154077981,162389176,7,24,1
2014-08-25,134164401,209908787,280533543,284695009,254890053,253136439,1,25,0
2014-08-26,283116043,264492485,236052637,260705801,311680953,325692942,2,26,0
2014-08-27,241046273,271225580,209205785,262139305,269143684,239088792,3,27,0
2014-08-28,227515169,345649378,234392568,248894735,256485155,228056623,4,28,0
2014-08-29,240376956,327274182,182566127,268968079,228097887,378242546,5,29,0
2014-08-30,214114844,359195182,154613502,158553438,146751994,152120792,6,30,1
2014-08-31,183547267,201759798,134164401,161198309,164174384,154077981,7,31,1
