report_date,yesterday_purchase,yesterday_redeem,week1,week2,week3,week4,day_of_week,day_of_month,isweekend
2014-05-01,232262878,274590040,348965167,259158950,292651452,259172151,4,1,0
2014-05-02,197451051,113440731,231507912,212558260,263431235,171218775,5,2,0
2014-05-03,129869154,103269793,110439209,161932743,177456118,130175071,6,3,1
2014-05-04,229609301,174430184,241292798,175154181,199455537,86148848,7,4,1
2014-05-05,297192156,282088123,413667536,416482875,315904149,151211943,1,5,0
2014-05-06,425987710,324920452,340918574,329994810,333481946,241500693,2,6,0
2014-05-07,323536443,295986647,274590040,289670313,258644563,301919971,3,7,0
2014-05-08,406395515,221742769,113440731,348965167,259158950,292651452,4,8,0
2014-05-09,353562072,267751934,103269793,231507912,212558260,263431235,5,9,0
2014-05-10,265472393,158473997,174430184,110439209,161932743,177456118,6,10,1
2014-05-11,227672886,258495276,282088123,241292798,175154181,199455537,7,11,1
2014-05-12,208480221,142970887,324920452,413667536,416482875,315904149,1,12,0
2014-05-13,285228437,338432936,295986647,340918574,329994810,333481946,2,13,0
2014-05-14,362372059,250343867,221742769,274590040,289670313,258644563,3,14,0
2014-05-15,290208996,297491596,267751934,113440731,348965167,259158950,4,15,0
2014-05-16,303286621,435249186,158473997,103269793,231507912,212558260,5,16,0
2014-05-17,254644568,200510199,258495276,174430184,110439209,161932743,6,17,1
2014-05-18,116291491,179594252,142970887,282088123,241292798,175154181,7,18,1
2014-05-19,161097108,145479624,338432936,324920452,413667536,416482875,1,19,0
2014-05-20,347718384,422101826,250343867,295986647,340918574,329994810,2,20,0
2014-05-21,286615315,197106347,297491596,221742769,274590040,289670313,3,21,0
2014-05-22,241015636,292385050,435249186,267751934,113440731,348965167,4,22,0
2014-05-23,273390048,295631432,200510199,158473997,103269793,231507912,5,23,0
2014-05-24,200156003,223981714,179594252,258495276,174430184,110439209,6,24,1
2014-05-25,141641047,233305829,145479624,142970887,282088123,241292798,7,25,1
2014-05-26,169866612,147245163,422101826,338432936,324920452,413667536,1,26,0
2014-05-27,266803815,415178334,197106347,250343867,295986647,340918574,2,27,0
2014-05-28,249676185,369000169,292385050,297491596,221742769,274590040,3,28,0
