report_date,total_redeem_amt
2014-04-01,-118136856.286
2014-04-02,-76175983.0353
2014-04-03,-44592355.0063
2014-04-04,-85601450.1217
2014-04-05,-72158088.4888
2014-04-06,-184051729.89
2014-04-07,-119469048.931
2014-04-08,-55123438.3323
2014-04-09,-39301521.9275
2014-04-10,26219628.1912
2014-04-11,28419502.1344
2014-04-12,-60725780.9286
2014-04-13,657546.427332
2014-04-14,34586341.7457
2014-04-15,-10583143.167
2014-04-16,-43452014.3527
2014-04-17,-31361524.1643
2014-04-18,-25119163.1054
2014-04-19,-24686221.0429
2014-04-20,-66459279.7748
2014-04-21,150409978.762
2014-04-22,-10206344.2945
2014-04-23,-48235469.5298
2014-04-24,92953239.1313
2014-04-25,-20146484.5519
2014-04-26,-102482017.604
2014-04-27,46893654.0659
2014-04-28,100666747.28
2014-04-29,-11067474.549
2014-04-30,-31794958.4461
2014-05-01,-180130807.476
2014-05-02,-80895646.0793
2014-05-03,-3366206.50202
2014-05-04,17036807.9317
2014-05-05,40125185.7928
2014-05-06,-41477683.6678
2014-05-07,-105210880.771
2014-05-08,47630893.8407
2014-05-09,-73936550.526
2014-05-10,56576799.3019
2014-05-11,-88881344.9
2014-05-12,34372240.8531
2014-05-13,-79229980.231
2014-05-14,10693898.9097
2014-05-15,158924638.825
2014-05-16,-40340063.5093
2014-05-17,-7794666.67336
2014-05-18,-104750009.15
2014-05-19,146320437.771
2014-05-20,-152159075.8
2014-05-21,-10283121.4859
2014-05-22,44484513.8563
2014-05-23,-14005675.5144
2014-05-24,33645920.6344
2014-05-25,-90193081.5265
2014-05-26,124550472.58
2014-05-27,25365712.3068
2014-05-28,57343631.8092
2014-05-29,121944154.768
2014-05-30,35552407.7714
2014-05-31,-57840160.0116
2014-06-01,-116840084.811
2014-06-02,-122499991.13
2014-06-03,56801802.4713
2014-06-04,-16204771.5436
2014-06-05,24678153.8047
2014-06-06,-2429408.84632
2014-06-07,-1539930.66255
2014-06-08,-47004847.5944
2014-06-09,-41414325.157
2014-06-10,-55071926.1647
2014-06-11,-42316297.7754
2014-06-12,-19051261.3391
2014-06-13,58239584.8942
2014-06-14,83414097.4821
2014-06-15,-28743977.7945
2014-06-16,100945262.911
2014-06-17,-18189754.9868
2014-06-18,24520078.9183
2014-06-19,40559411.2623
2014-06-20,89860314.417
2014-06-21,-53154721.2104
2014-06-22,14992938.9482
2014-06-23,143906793.459
2014-06-24,-25339727.2449
2014-06-25,-689436.682052
2014-06-26,204552610.525
2014-06-27,26722042.2495
2014-06-28,947943.188807
2014-06-29,433399.291581
2014-06-30,115689499.221
2014-07-01,11180731.0324
2014-07-02,11040945.4534
2014-07-03,-43732794.0633
2014-07-04,32940725.2034
2014-07-05,-59831432.1461
2014-07-06,19581349.2205
2014-07-07,37806561.233
2014-07-08,-5098281.97671
2014-07-09,-25594151.6056
2014-07-10,33830693.895
2014-07-11,7609955.22112
2014-07-12,-30313843.1982
2014-07-13,-19283112.282
2014-07-14,-39382995.9815
2014-07-15,40199923.6238
2014-07-16,-81455063.611
2014-07-17,-86055257.2118
2014-07-18,-45720699.6147
2014-07-19,-100314634.34
2014-07-20,-66166069.0704
2014-07-21,44298025.0805
2014-07-22,-69807650.1721
2014-07-23,-31651443.6185
2014-07-24,2961130.31118
2014-07-25,-26241312.1191
2014-07-26,-35758535.9349
2014-07-27,43048957.9467
2014-07-28,63526410.5747
2014-07-29,-153666176.735
2014-07-30,-42750586.7746
2014-07-31,-28246106.7796
2014-08-01,59351513.5243
2014-08-02,-54583617.4628
2014-08-03,-132342246.459
2014-08-04,-44537946.3008
2014-08-05,-74740812.5181
2014-08-06,-100098293.249
2014-08-07,-2180175.805
2014-08-08,-42144706.0173
2014-08-09,-73311346.7383
2014-08-10,-16334089.0447
2014-08-11,72327097.435
2014-08-12,-91492580.596
2014-08-13,-33145616.1068
2014-08-14,-51554417.9718
2014-08-15,-13918379.4991
2014-08-16,-59476857.7986
2014-08-17,-59114041.5852
2014-08-18,85437714.3817
2014-08-19,-104981353.572
2014-08-20,-105144901.769
2014-08-21,-107157485.648
2014-08-22,-12914478.1773
2014-08-23,-24012286.175
2014-08-24,-35047511.9468
2014-08-25,-47955445.1274
2014-08-26,-79261535.8435
2014-08-27,157796.367802
2014-08-28,23004175.593
2014-08-29,118392103.136
2014-08-30,-18910939.1259
2014-08-31,-95041130.077
