report_date,total_purchase_amt
2014-09-01,244464119.745
2014-09-02,245851402.47
2014-09-03,285371335.53
2014-09-04,253663351.709
2014-09-05,169325145.46
2014-09-06,161421228.603
2014-09-07,148249320.531
2014-09-08,210874992.612
2014-09-09,250920538.996
2014-09-10,258778310.01
2014-09-11,244525139.133
2014-09-12,163547301.28
2014-09-13,151262127.357
2014-09-14,144387180.384
2014-09-15,193335938.825
2014-09-16,252393303.37
2014-09-17,246487486.614
2014-09-18,238602913.626
2014-09-19,162813670.658
2014-09-20,137211358.731
2014-09-21,145309441.465
2014-09-22,178310230.783
2014-09-23,248405883.716
2014-09-24,240963273.115
2014-09-25,227781062.612
2014-09-26,165139154.595
2014-09-27,122886896.537
2014-09-28,143790572.445
2014-09-29,168208617.751
2014-09-30,238637157.757
