report_date,yesterday_purchase,week1_purchase,week2_purchase,week3_purchase,week4_purchase,MON,TUE,WED,THU,FRI,SAT,SUN,dayofmonth_percent,shouldwork,yesterday_redeem
20130701,,,,,,1,0,0,0,0,0,0,,,
20130702,22533121,,,,,0,1,0,0,0,0,0,,,1238748
20130703,29624840,,,,,0,0,1,0,0,0,0,,,3215499
20130704,22525940,,,,,0,0,0,1,0,0,0,,,4385918
20130705,32111643,,,,,0,0,0,0,1,0,0,,,12845583
20130706,16129924,,,,,0,0,0,0,0,1,0,,,2551703
20130707,16179865,,,,,0,0,0,0,0,0,1,,,2289341
20130708,15516443,22533121,,,,1,0,0,0,0,0,0,,,4363341
20130709,98730828,29624840,,,,0,1,0,0,0,0,0,,,15888356
20130710,18623071,22525940,,,,0,0,1,0,0,0,0,,,11374271
20130711,42210154,32111643,,,,0,0,0,1,0,0,0,,,18319144
20130712,29843023,16129924,,,,0,0,0,0,1,0,0,,,2158990
20130713,23202473,16179865,,,,0,0,0,0,0,1,0,,,4829301
20130714,19218553,15516443,,,,0,0,0,0,0,0,1,,,2218978
20130715,101209093,98730828,22533121,,,1,0,0,0,0,0,0,,,3375744
20130716,106271409,18623071,29624840,,,0,1,0,0,0,0,0,,,25375610
20130717,26323198,42210154,22525940,,,0,0,1,0,0,0,0,,,32164805
20130718,28834269,29843023,32111643,,,0,0,0,1,0,0,0,,,26631817
20130719,27609385,23202473,16129924,,,0,0,0,0,1,0,0,,,8142301
20130720,126301368,19218553,16179865,,,0,0,0,0,0,1,0,,,3413665
20130721,20662791,101209093,15516443,,,0,0,0,0,0,0,1,,,4557888
20130722,81375803,106271409,98730828,22533121,,1,0,0,0,0,0,0,,,7068179
20130723,37844074,26323198,18623071,29624840,,0,1,0,0,0,0,0,,,9073308
20130724,25115410,28834269,42210154,22525940,,0,0,1,0,0,0,0,,,8675669
20130725,29405789,27609385,29843023,32111643,,0,0,0,1,0,0,0,,,9348626
20130726,123922858,126301368,23202473,16129924,,0,0,0,0,1,0,0,,,62652056
20130727,25835746,20662791,19218553,16179865,,0,0,0,0,0,1,0,,,11721842
20130728,31021548,81375803,101209093,15516443,,0,0,0,0,0,0,1,,,5723416
20130729,26260152,37844074,106271409,98730828,22533121,1,0,0,0,0,0,0,,,32887218
20130730,59130418,25115410,26323198,18623071,29624840,0,1,0,0,0,0,0,,,14375762
20130731,35410500,29405789,28834269,42210154,22525940,0,0,1,0,0,0,0,,,16427906
20130801,122942064,123922858,27609385,29843023,32111643,0,0,0,1,0,0,0,,,13151366
20130802,61905830,25835746,126301368,23202473,16129924,0,0,0,0,1,0,0,,,6159040
20130803,73104389,31021548,20662791,19218553,16179865,0,0,0,0,0,1,0,,,20410883
20130804,31370682,26260152,81375803,101209093,15516443,0,0,0,0,0,0,1,,,24942267
