report_date,total_redeem_amt
20140501,-180130807.476
20140502,-80895646.0793
20140503,-3366206.50202
20140504,17036807.9317
20140505,40125185.7928
20140506,-41477683.6678
20140507,-105210880.771
20140508,47630893.8407
20140509,-73936550.526
20140510,56576799.3019
20140511,-88881344.9
20140512,34372240.8531
20140513,-79229980.231
20140514,10693898.9097
20140515,158924638.825
20140516,-40340063.5093
20140517,-7794666.67336
20140518,-104750009.15
20140519,146320437.771
20140520,-152159075.8
20140521,-10283121.4859
20140522,44484513.8563
20140523,-14005675.5144
20140524,33645920.6344
20140525,-90193081.5265
20140526,124550472.58
20140527,25365712.3068
20140528,57343631.8092
20140529,121944154.768
20140530,35552407.7714
20140531,-57840160.0116
20140601,-116840084.811
20140602,-122499991.13
20140603,56801802.4713
20140604,-16204771.5436
20140605,24678153.8047
20140606,-2429408.84632
20140607,-1539930.66255
20140608,-47004847.5944
20140609,-41414325.157
20140610,-55071926.1647
20140611,-42316297.7754
20140612,-19051261.3391
20140613,58239584.8942
20140614,83414097.4821
20140615,-28743977.7945
20140616,100945262.911
20140617,-18189754.9868
20140618,24520078.9183
20140619,40559411.2623
20140620,89860314.417
20140621,-53154721.2104
20140622,14992938.9482
20140623,143906793.459
20140624,-25339727.2449
20140625,-689436.682052
20140626,204552610.525
20140627,26722042.2495
20140628,947943.188807
20140629,433399.291581
20140630,115689499.221
20140701,11180731.0324
20140702,11040945.4534
20140703,-43732794.0633
20140704,32940725.2034
20140705,-59831432.1461
20140706,19581349.2205
20140707,37806561.233
20140708,-5098281.97671
20140709,-25594151.6056
20140710,33830693.895
20140711,7609955.22112
20140712,-30313843.1982
20140713,-19283112.282
20140714,-39382995.9815
20140715,40199923.6238
20140716,-81455063.611
20140717,-86055257.2118
20140718,-45720699.6147
20140719,-100314634.34
20140720,-66166069.0704
20140721,44298025.0805
20140722,-69807650.1721
20140723,-31651443.6185
20140724,2961130.31118
20140725,-26241312.1191
20140726,-35758535.9349
20140727,43048957.9467
20140728,63526410.5747
20140729,-153666176.735
20140730,-42750586.7746
20140731,-28246106.7796
20140801,59351513.5243
20140802,-54583617.4628
20140803,-132342246.459
20140804,-44537946.3008
20140805,-74740812.5181
20140806,-100098293.249
20140807,-2180175.805
20140808,-42144706.0173
20140809,-73311346.7383
20140810,-16334089.0447
20140811,72327097.435
20140812,-91492580.596
20140813,-33145616.1068
20140814,-51554417.9718
20140815,-13918379.4991
20140816,-59476857.7986
20140817,-59114041.5852
20140818,85437714.3817
20140819,-104981353.572
20140820,-105144901.769
20140821,-107157485.648
20140822,-12914478.1773
20140823,-24012286.175
20140824,-35047511.9468
20140825,-47955445.1274
20140826,-79261535.8435
20140827,157796.367802
20140828,23004175.593
20140829,118392103.136
20140830,-18910939.1259
20140831,-95041130.077
