report_date,total_purchase_amt
2014-04-01,61868019.466
2014-04-02,30694125.5353
2014-04-03,9486565.42664
2014-04-04,-11663378.8459
2014-04-05,-40278398.7276
2014-04-06,-71046800.6469
2014-04-07,-75150385.1338
2014-04-08,34396281.3174
2014-04-09,60486240.2935
2014-04-10,17468903.5873
2014-04-11,48494668.8609
2014-04-12,-21199075.0913
2014-04-13,9145527.61604
2014-04-14,34691996.7977
2014-04-15,-28361084.945
2014-04-16,-49330139.7291
2014-04-17,-34841494.8044
2014-04-18,58541249.2016
2014-04-19,-87191257.9441
2014-04-20,5893994.05944
2014-04-21,50803804.1598
2014-04-22,-98590901.6068
2014-04-23,-84306387.481
2014-04-24,-77294886.1654
2014-04-25,102374871.54
2014-04-26,-32055516.2272
2014-04-27,9031427.01801
2014-04-28,-34730211.253
2014-04-29,-20564106.1708
2014-04-30,-137193501.568
2014-05-01,-26281914.9521
2014-05-02,-98300008.5472
2014-05-03,89741491.9464
2014-05-04,80401997.4708
2014-05-05,113062145.433
2014-05-06,-20721752.0618
2014-05-07,54570031.4135
2014-05-08,49706349.0458
2014-05-09,28848429.9519
2014-05-10,21258481.1946
2014-05-11,-24247032.7804
2014-05-12,-50146491.148
2014-05-13,40072105.2552
2014-05-14,-104574269.278
2014-05-15,70638923.8245
2014-05-16,-3676541.61764
2014-05-17,-86877387.0759
2014-05-18,-14315465.4569
2014-05-19,10859231.984
2014-05-20,-46093731.8499
2014-05-21,-86662203.8141
2014-05-22,23758455.8382
2014-05-23,-32206045.5337
2014-05-24,-31973963.448
2014-05-25,-11806960.7122
2014-05-26,-47855250.5925
2014-05-27,-45490151.3878
2014-05-28,-52096654.7489
2014-05-29,94252793.9172
2014-05-30,19712475.8261
2014-05-31,-53464629.554
2014-06-01,-25437649.4586
2014-06-02,-131797591.562
2014-06-03,30271252.0369
2014-06-04,-63006978.1288
2014-06-05,82264995.8326
2014-06-06,37958510.9427
2014-06-07,-41172059.136
2014-06-08,21749245.7452
2014-06-09,141872640.447
2014-06-10,37736230.4629
2014-06-11,-5417035.65066
2014-06-12,-17541696.0075
2014-06-13,33430763.0966
2014-06-14,-73211318.2457
2014-06-15,43317934.6579
2014-06-16,12468290.4989
2014-06-17,2678145.92993
2014-06-18,-62507481.6696
2014-06-19,18244096.3283
2014-06-20,4792152.82654
2014-06-21,-10426995.2485
2014-06-22,-43243242.9539
2014-06-23,18381516.2115
2014-06-24,-34114253.2208
2014-06-25,-37824974.8355
2014-06-26,-39655126.6321
2014-06-27,-1525626.36069
2014-06-28,-13910873.9233
2014-06-29,-4856314.49273
2014-06-30,47688506.9001
2014-07-01,50150279.4682
2014-07-02,-32070042.9182
2014-07-03,-50526012.3687
2014-07-04,36498120.2153
2014-07-05,-56644362.2434
2014-07-06,4166672.62929
2014-07-07,34489832.2101
2014-07-08,-97091492.0618
2014-07-09,-20085393.283
2014-07-10,8400567.33339
2014-07-11,44298581.6757
2014-07-12,-39654231.9876
2014-07-13,-25740879.9085
2014-07-14,-42641274.9981
2014-07-15,2563439.03242
2014-07-16,-29544242.8057
2014-07-17,13334185.6713
2014-07-18,5298554.40614
2014-07-19,-29780321.1781
2014-07-20,4591109.28597
2014-07-21,-40471406.4191
2014-07-22,-62344359.5729
2014-07-23,4127125.10904
2014-07-24,-3485759.73015
2014-07-25,37817220.426
2014-07-26,12918900.4068
2014-07-27,-20883396.976
2014-07-28,-7115723.30135
2014-07-29,29573038.8351
2014-07-30,-67877305.8409
2014-07-31,6865968.31632
2014-08-01,187909590.313
2014-08-02,-32104646.7408
2014-08-03,-18507423.7331
2014-08-04,-11058090.8728
2014-08-05,17808602.882
2014-08-06,-19660158.6867
2014-08-07,4671049.8201
2014-08-08,51577194.1702
2014-08-09,-38798908.383
2014-08-10,-19330190.2106
2014-08-11,18220091.1294
2014-08-12,-32604043.9057
2014-08-13,-27997689.8503
2014-08-14,-5844668.12939
2014-08-15,92066810.4006
2014-08-16,-28305202.9485
2014-08-17,-24701088.0823
2014-08-18,13232498.249
2014-08-19,-59289002.9834
2014-08-20,-81155052.3218
2014-08-21,-22202845.0054
2014-08-22,4676475.20063
2014-08-23,-33732541.6236
2014-08-24,-53861915.0136
2014-08-25,15061850.3359
2014-08-26,-56456122.6862
2014-08-27,-63075209.1354
2014-08-28,-17986185.1399
2014-08-29,35170185.9337
2014-08-30,-6251113.24312
2014-08-31,15185346.4349
