report_date,total_redeem_amt
2014-09-01,257707775.119
2014-09-02,328251848.556
2014-09-03,314437522.698
2014-09-04,263030084.258
2014-09-05,227302080.327
2014-09-06,192163983.193
2014-09-07,201629094.441
2014-09-08,264086384.753
2014-09-09,308523554.101
2014-09-10,305781393.498
2014-09-11,270318113.81
2014-09-12,216033922.31
2014-09-13,182342308.112
2014-09-14,202843387.314
2014-09-15,256021222.705
2014-09-16,298926330.447
2014-09-17,304192736.05
2014-09-18,265243391.479
2014-09-19,208339148.385
2014-09-20,178639543.782
2014-09-21,197448150.312
2014-09-22,248213789.497
2014-09-23,293722606.736
2014-09-24,299438034.265
2014-09-25,259269475.673
2014-09-26,203440700.871
2014-09-27,173667527.404
2014-09-28,190989636.863
2014-09-29,242011258.682
2014-09-30,288164050.29
