report_date,yesterday_purchase,yesterday_redeem,week1,week2,week3,week4,day_of_week,day_of_month,isweekend,mfd_daily_yield,mfd_7daily_yield,Interest_1_M,shouldwork,dayofmonth_percent,term_percent
20130701,,,,,,,1,1,0,1.5787,6.307,6.88,,,
20130702,22533121,1238748,,,,,2,2,0,1.5461,6.174,5.8,,,
20130703,29624840,3215499,,,,,3,3,0,1.467,6.034,5.2,,,
20130704,22525940,4385918,,,,,4,4,0,1.4223,5.903,5.102,,,
20130705,32111643,12845583,,,,,5,5,0,1.3845,5.739,4.7885,,,
20130706,16129924,2551703,,,,,6,6,1,1.3674,5.582,4.3,,,
20130707,16179865,2289341,,,,,7,7,1,1.3671,5.425,4.298,,,
20130708,15516443,4363341,1238748,,,,1,8,0,1.3129,5.279,4.269,,,
20130709,98730828,15888356,3215499,,,,2,9,0,1.3096,5.15,4.351,,,
20130710,18623071,11374271,4385918,,,,3,10,0,1.2792,5.047,4.128,,,
20130711,42210154,18319144,12845583,,,,4,11,0,1.2616,4.959,4.2705,,,
20130712,29843023,2158990,2551703,,,,5,12,0,1.2487,4.884,4.424,,,
20130713,23202473,4829301,2289341,,,,6,13,1,1.2396,4.815,4.53,,,
20130714,19218553,2218978,4363341,,,,7,14,1,1.2394,4.745,4.61,,,
20130715,101209093,3375744,15888356,1238748,,,1,15,0,1.1985,4.682,4.669,,,
20130716,106271409,25375610,11374271,3215499,,,2,16,0,1.2214,4.634,4.806,,,
20130717,26323198,32164805,18319144,4385918,,,3,17,0,1.1829,4.582,4.99,,,
20130718,28834269,26631817,2158990,12845583,,,4,18,0,1.1896,4.543,5.293,,,
20130719,27609385,8142301,4829301,2551703,,,5,19,0,1.2032,4.518,5.468,,,
20130720,126301368,3413665,2218978,2289341,,,6,20,1,1.1964,4.494,5.722,,,
20130721,20662791,4557888,3375744,4363341,,,7,21,1,1.1962,4.471,5.988,,,
20130722,81375803,7068179,25375610,15888356,1238748,,1,22,0,1.1547,4.447,5.889,,,
20130723,37844074,9073308,32164805,11374271,3215499,,2,23,0,1.1826,4.426,5.34,,,
20130724,25115410,8675669,26631817,18319144,4385918,,3,24,0,1.1805,4.424,4.846,,,
20130725,29405789,9348626,8142301,2158990,12845583,,4,25,0,1.1645,4.411,4.642,,,
20130726,123922858,62652056,3413665,4829301,2551703,,5,26,0,1.1777,4.397,4.575,,,
20130727,25835746,11721842,4557888,2218978,2289341,,6,27,1,1.1728,4.384,4.6005,,,
20130728,31021548,5723416,7068179,3375744,4363341,,7,28,1,1.1726,4.371,4.58,,,
20130729,26260152,32887218,9073308,25375610,15888356,1238748,1,29,0,1.1515,4.369,4.595,,,
20130730,59130418,14375762,8675669,32164805,11374271,3215499,2,30,0,1.1958,4.377,4.535,,,
20130731,35410500,16427906,9348626,26631817,18319144,4385918,3,31,0,1.2088,4.392,4.5,,,
20130801,122942064,13151366,62652056,8142301,2158990,12845583,4,1,0,1.2026,4.413,4.524,,,
20130802,61905830,6159040,11721842,3413665,4829301,2551703,5,2,0,1.222,4.437,4.505,,,
20130803,73104389,20410883,5723416,4557888,2218978,2289341,6,3,1,1.2154,4.46,4.517,,,
20130804,31370682,24942267,32887218,7068179,3375744,4363341,7,4,1,1.2152,4.483,4.56,,,
20130805,45251520,16648439,14375762,9073308,25375610,15888356,1,5,0,1.1875,4.503,4.925,,,
20130806,51533056,123111835,16427906,8675669,32164805,11374271,2,6,0,1.204,4.507,5.218,,,
20130807,27348705,23304219,13151366,9348626,26631817,18319144,3,7,0,1.2118,4.509,5.04,,,
20130808,24953363,13675014,6159040,62652056,8142301,2158990,4,8,0,1.2155,4.516,4.968,,,
20130809,44702970,10561475,20410883,11721842,3413665,4829301,5,9,0,1.2174,4.513,5.016,,,
20130810,46197838,15546146,24942267,5723416,4557888,2218978,6,10,1,1.2128,4.512,5.007,,,
20130811,44403831,41942573,16648439,32887218,7068179,3375744,7,11,1,1.2126,4.511,4.974,,,
20130812,42840984,5443051,123111835,14375762,9073308,25375610,1,12,0,1.1886,4.511,4.929,,,
20130813,33901418,43533052,23304219,16427906,8675669,32164805,2,13,0,1.2143,4.517,4.903,,,
20130814,45856548,29325894,13675014,13151366,9348626,26631817,3,14,0,1.2201,4.521,4.805,,,
20130815,39066415,23721318,10561475,6159040,62652056,8142301,4,15,0,1.2184,4.523,4.6,,,
20130816,29238678,21981558,15546146,20410883,11721842,3413665,5,16,0,1.219,4.524,4.523,,,
20130817,54635823,58314359,41942573,24942267,5723416,4557888,6,17,1,1.215,4.525,4.581,,,
20130818,15688245,51457176,5443051,16648439,32887218,7068179,7,18,1,1.2148,4.526,4.574,,,
20130819,45069353,35585574,43533052,123111835,14375762,9073308,1,19,0,1.1987,4.532,4.484,,,
