report_date,yesterday_purchase,week1_purchase,week2_purchase,week3_purchase,week4_purchase,MON,TUE,WED,THU,FRI,SAT,SUN,dayofmonth_percent,shouldwork
20130701,,,,,,1,0,0,0,0,0,0,,
20130702,22533121,,,,,0,1,0,0,0,0,0,,
20130703,29624840,,,,,0,0,1,0,0,0,0,,
20130704,22525940,,,,,0,0,0,1,0,0,0,,
20130705,32111643,,,,,0,0,0,0,1,0,0,,
20130706,16129924,,,,,0,0,0,0,0,1,0,,
20130707,16179865,,,,,0,0,0,0,0,0,1,,
20130708,15516443,22533121,,,,1,0,0,0,0,0,0,,
20130709,98730828,29624840,,,,0,1,0,0,0,0,0,,
20130710,18623071,22525940,,,,0,0,1,0,0,0,0,,
20130711,42210154,32111643,,,,0,0,0,1,0,0,0,,
20130712,29843023,16129924,,,,0,0,0,0,1,0,0,,
20130713,23202473,16179865,,,,0,0,0,0,0,1,0,,
20130714,19218553,15516443,,,,0,0,0,0,0,0,1,,
20130715,101209093,98730828,22533121,,,1,0,0,0,0,0,0,,
20130716,106271409,18623071,29624840,,,0,1,0,0,0,0,0,,
20130717,26323198,42210154,22525940,,,0,0,1,0,0,0,0,,
20130718,28834269,29843023,32111643,,,0,0,0,1,0,0,0,,
20130719,27609385,23202473,16129924,,,0,0,0,0,1,0,0,,
20130720,126301368,19218553,16179865,,,0,0,0,0,0,1,0,,
20130721,20662791,101209093,15516443,,,0,0,0,0,0,0,1,,
20130722,81375803,106271409,98730828,22533121,,1,0,0,0,0,0,0,,
20130723,37844074,26323198,18623071,29624840,,0,1,0,0,0,0,0,,
20130724,25115410,28834269,42210154,22525940,,0,0,1,0,0,0,0,,
20130725,29405789,27609385,29843023,32111643,,0,0,0,1,0,0,0,,
20130726,123922858,126301368,23202473,16129924,,0,0,0,0,1,0,0,,
20130727,25835746,20662791,19218553,16179865,,0,0,0,0,0,1,0,,
20130728,31021548,81375803,101209093,15516443,,0,0,0,0,0,0,1,,
20130729,26260152,37844074,106271409,98730828,22533121,1,0,0,0,0,0,0,,
20130730,59130418,25115410,26323198,18623071,29624840,0,1,0,0,0,0,0,,
20130731,35410500,29405789,28834269,42210154,22525940,0,0,1,0,0,0,0,,
20130801,122942064,123922858,27609385,29843023,32111643,0,0,0,1,0,0,0,,
20130802,61905830,25835746,126301368,23202473,16129924,0,0,0,0,1,0,0,,
20130803,73104389,31021548,20662791,19218553,16179865,0,0,0,0,0,1,0,,
20130804,31370682,26260152,81375803,101209093,15516443,0,0,0,0,0,0,1,,
20130805,45251520,59130418,37844074,106271409,98730828,1,0,0,0,0,0,0,,
20130806,51533056,35410500,25115410,26323198,18623071,0,1,0,0,0,0,0,,
