report_date,total_redeem_amt
20130701,1238748
20130702,3215499
20130703,4385918
20130704,12845583
20130705,2551703
20130706,2289341
20130707,4363341
20130708,15888356
20130709,11374271
20130710,18319144
20130711,2158990
20130712,4829301
20130713,2218978
20130714,3375744
20130715,25375610
20130716,32164805
20130717,26631817
20130718,8142301
20130719,3413665
20130720,4557888
20130721,7068179
20130722,9073308
20130723,8675669
20130724,9348626
20130725,62652056
20130726,11721842
20130727,5723416
20130728,32887218
20130729,14375762
20130730,16427906
20130731,13151366
20130801,6159040
20130802,20410883
20130803,24942267
20130804,16648439
20130805,123111835
20130806,23304219
20130807,13675014
20130808,10561475
20130809,15546146
20130810,41942573
20130811,5443051
20130812,43533052
20130813,29325894
20130814,23721318
20130815,21981558
20130816,58314359
20130817,51457176
20130818,35585574
20130819,27409347
20130820,27002747
20130821,18370111
20130822,18620771
20130823,16009856
20130824,14426635
20130825,12426430
20130826,16794905
20130827,23573930
20130828,68685109
20130829,29996101
20130830,17631447
20130831,12893797
20130901,18155299
20130902,27437595
20130903,20886668
20130904,23688242
20130905,17937329
20130906,22744929
20130907,17830433
20130908,19393890
20130909,22529834
20130910,61880908
20130911,45646088
20130912,16797004
20130913,10624127
20130914,22263774
20130915,17385227
20130916,14276435
20130917,21022169
20130918,17777697
20130919,11095259
20130920,15710134
20130921,23219290
20130922,75805107
20130923,26564396
20130924,26722196
20130925,54563516
20130926,32334604
20130927,21422361
20130928,37660670
20130929,77461238
20130930,34100714
20131001,8869210
20131002,10393202
20131003,14700007
20131004,12046540
20131005,13019900
20131006,14733990
20131007,82606688
20131008,60758100
20131009,26611167
20131010,36132959
20131011,31646212
20131012,36724035
20131013,46888025
20131014,41243215
20131015,58286788
20131016,40682099
20131017,45517673
20131018,29644051
20131019,12115532
20131020,27240757
20131021,86625521
20131022,29426313
20131023,36092748
20131024,69717843
20131025,62677596
20131026,27504517
20131027,25646394
20131028,67747746
20131029,52687221
20131030,63435426
20131031,93841828
20131101,46678116
20131102,21879168
20131103,33749172
20131104,108318485
20131105,128585154
20131106,131796343
20131107,149424128
20131108,99248361
20131109,59247170
20131110,123840519
20131111,246064757
20131112,74456493
20131113,54302781
20131114,42611824
20131115,44380574
20131116,38584607
20131117,35055232
20131118,65817333
20131119,60013853
20131120,83122720
20131121,75803920
20131122,66623532
20131123,88449004
20131124,60355364
20131125,91230946
20131126,79919049
20131127,178457547
20131128,107063218
20131129,96242909
20131130,76461088
20131201,95291329
20131202,107045755
20131203,105284341
20131204,91187713
20131205,75925859
20131206,92725974
20131207,53512763
20131208,53648650
20131209,152407205
20131210,78077384
20131211,126368276
20131212,117455386
20131213,83443683
20131214,73250223
20131215,59674345
20131216,86266515
20131217,109073593
20131218,91560802
20131219,112370684
20131220,148188232
20131221,59536553
20131222,56877147
20131223,179886396
20131224,133342747
20131225,212312830
20131226,146764679
20131227,252417542
20131228,101848650
20131229,74663175
20131230,103985798
20131231,113254499
20140101,77073258
20140102,124541441
20140103,115361983
20140104,71718874
20140105,106824899
20140106,139233405
20140107,110203644
20140108,115536959
20140109,121195295
20140110,119859597
20140111,116820618
20140112,80041533
20140113,164389088
20140114,194979118
20140115,114905112
20140116,136931314
20140117,154263565
20140118,107190052
20140119,117846810
20140120,259973410
20140121,176724296
20140122,183458941
20140123,332744686
20140124,188651670
20140125,131010888
20140126,214348269
20140127,260269121
20140128,256692351
20140129,274603869
20140130,99811984
20140131,29125625
20140201,51483587
20140202,35016210
20140203,92071628
20140204,61618152
20140205,70100225
20140206,89786438
20140207,356235057
20140208,134579390
20140209,143211947
20140210,418611061
20140211,315239225
20140212,425221290
20140213,301079648
20140214,233371566
20140215,110240413
20140216,139432186
20140217,314699059
20140218,246229299
20140219,247608257
20140220,276717727
20140221,206572952
20140222,129881807
20140223,237023147
20140224,326481227
20140225,349836501
20140226,476270827
20140227,660825256
20140228,282310184
20140301,148429245
20140302,163786963
20140303,360144530
20140304,278261421
20140305,275381156
20140306,366030834
20140307,274009352
20140308,157996615
20140309,169872578
20140310,296534165
20140311,267437055
20140312,298538230
20140313,255918695
20140314,270497983
20140315,242196362
20140316,188184766
20140317,420064650
20140318,341931886
20140319,414884867
20140320,304013906
20140321,280963645
20140322,200897470
20140323,160853972
20140324,318658552
20140325,362444778
20140326,257938486
20140327,326543305
20140328,372161003
20140329,138171183
20140330,256893459
20140331,497687416
20140401,280407782
20140402,234601543
20140403,259172151
20140404,171218775
20140405,130175071
20140406,86148848
20140407,151211943
20140408,241500693
20140409,301919971
20140410,292651452
20140411,263431235
20140412,177456118
20140413,199455537
20140414,315904149
20140415,333481946
20140416,258644563
20140417,259158950
20140418,212558260
20140419,161932743
20140420,175154181
20140421,416482875
20140422,329994810
20140423,289670313
20140424,348965167
20140425,231507912
20140426,110439209
20140427,241292798
20140428,413667536
20140429,340918574
20140430,274590040
20140501,113440731
20140502,103269793
20140503,174430184
20140504,282088123
20140505,324920452
20140506,295986647
20140507,221742769
20140508,267751934
20140509,158473997
20140510,258495276
20140511,142970887
20140512,338432936
20140513,250343867
20140514,297491596
20140515,435249186
20140516,200510199
20140517,179594252
20140518,145479624
20140519,422101826
20140520,197106347
20140521,292385050
20140522,295631432
20140523,223981714
20140524,233305829
20140525,147245163
20140526,415178334
20140527,369000169
20140528,381785376
20140529,402129748
20140530,276489019
20140531,153225467
20140601,111076626
20140602,157408750
20140603,372184784
20140604,327061084
20140605,302841375
20140606,217295228
20140607,206165504
20140608,180076832
20140609,241085611
20140610,282137606
20140611,277431859
20140612,256164551
20140613,284281673
20140614,289810759
20140615,217992393
20140616,383963086
20140617,331341050
20140618,358972950
20140619,322086055
20140620,333222993
20140621,169065467
20140622,232029485
20140623,444554691
20140624,342707532
20140625,319358448
20140626,498151313
20140627,307276813
20140628,199382031
20140629,238934317
20140630,425796747
20140701,358485374
20140702,364268994
20140703,257959811
20140704,253548445
20140705,168602028
20140706,250453540
20140707,332660498
20140708,363952447
20140709,308883169
20140710,322207184
20140711,266630674
20140712,173485119
20140713,218339981
20140714,272164963
20140715,369452520
20140716,278415089
20140717,204597291
20140718,162854740
20140719,122809272
20140720,157986108
20140721,325273684
20140722,307691465
20140723,289004852
20140724,284291000
20140725,233005216
20140726,152163398
20140727,281734449
20140728,393656353
20140729,185509598
20140730,278053927
20140731,269628521
20140801,282593743
20140802,162090956
20140803,121165959
20140804,248676024
20140805,278473251
20140806,247713799
20140807,283816788
20140808,204391027
20140809,143619719
20140810,223625820
20140811,385895199
20140812,254258310
20140813,308734578
20140814,252702796
20140815,221094668
20140816,158797400
20140817,194379633
20140818,385940924
20140819,247704409
20140820,244720592
20140821,185570807
20140822,232911054
20140823,196780196
20140824,209908787
20140825,264492485
20140826,271225580
20140827,345649378
20140828,327274182
20140829,359195182
20140830,201759798
20140831,159162656
