report_date,yesterday_redeem,week1_redeem,week2_redeem,week3_redeem,week4_redeem,MON,TUE,WED,THU,FRI,SAT,SUN,dayofmonth_percent,shouldwork
2014-04-01,497687416.0,362444778.0,341931886.0,267437055.0,278261421.0,0,1,0,0,0,0,0,0.0333333333,1.0
2014-04-02,280407782.0,257938486.0,414884867.0,298538230.0,275381156.0,0,0,1,0,0,0,0,0.0666666667,1.0
2014-04-03,234601543.0,326543305.0,304013906.0,255918695.0,366030834.0,0,0,0,1,0,0,0,0.1,1.0
2014-04-04,259172151.0,372161003.0,280963645.0,270497983.0,274009352.0,0,0,0,0,1,0,0,0.1333333333,1.0
2014-04-05,171218775.0,138171183.0,200897470.0,242196362.0,157996615.0,0,0,0,0,0,1,0,0.1666666667,0.0
2014-04-06,130175071.0,256893459.0,160853972.0,188184766.0,169872578.0,0,0,0,0,0,0,1,0.2,0.0
2014-04-07,86148848.0,497687416.0,318658552.0,420064650.0,296534165.0,1,0,0,0,0,0,0,0.2333333333,0.0
2014-04-08,151211943.0,280407782.0,362444778.0,341931886.0,267437055.0,0,1,0,0,0,0,0,0.2666666667,1.0
2014-04-09,241500693.0,234601543.0,257938486.0,414884867.0,298538230.0,0,0,1,0,0,0,0,0.3,1.0
2014-04-10,301919971.0,259172151.0,326543305.0,304013906.0,255918695.0,0,0,0,1,0,0,0,0.3333333333,1.0
2014-04-11,292651452.0,171218775.0,372161003.0,280963645.0,270497983.0,0,0,0,0,1,0,0,0.3666666667,1.0
2014-04-12,263431235.0,130175071.0,138171183.0,200897470.0,242196362.0,0,0,0,0,0,1,0,0.4,0.0
2014-04-13,177456118.0,86148848.0,256893459.0,160853972.0,188184766.0,0,0,0,0,0,0,1,0.4333333333,0.0
2014-04-14,199455537.0,151211943.0,497687416.0,318658552.0,420064650.0,1,0,0,0,0,0,0,0.4666666667,1.0
2014-04-15,315904149.0,241500693.0,280407782.0,362444778.0,341931886.0,0,1,0,0,0,0,0,0.5,1.0
2014-04-16,333481946.0,301919971.0,234601543.0,257938486.0,414884867.0,0,0,1,0,0,0,0,0.5333333333,1.0
2014-04-17,258644563.0,292651452.0,259172151.0,326543305.0,304013906.0,0,0,0,1,0,0,0,0.5666666667,1.0
2014-04-18,259158950.0,263431235.0,171218775.0,372161003.0,280963645.0,0,0,0,0,1,0,0,0.6,1.0
2014-04-19,212558260.0,177456118.0,130175071.0,138171183.0,200897470.0,0,0,0,0,0,1,0,0.6333333333,0.0
2014-04-20,161932743.0,199455537.0,86148848.0,256893459.0,160853972.0,0,0,0,0,0,0,1,0.6666666667,0.0
2014-04-21,175154181.0,315904149.0,151211943.0,497687416.0,318658552.0,1,0,0,0,0,0,0,0.7,1.0
2014-04-22,416482875.0,333481946.0,241500693.0,280407782.0,362444778.0,0,1,0,0,0,0,0,0.7333333333,1.0
2014-04-23,329994810.0,258644563.0,301919971.0,234601543.0,257938486.0,0,0,1,0,0,0,0,0.7666666667,1.0
2014-04-24,289670313.0,259158950.0,292651452.0,259172151.0,326543305.0,0,0,0,1,0,0,0,0.8,1.0
2014-04-25,348965167.0,212558260.0,263431235.0,171218775.0,372161003.0,0,0,0,0,1,0,0,0.8333333333,1.0
2014-04-26,231507912.0,161932743.0,177456118.0,130175071.0,138171183.0,0,0,0,0,0,1,0,0.8666666667,0.0
2014-04-27,110439209.0,175154181.0,199455537.0,86148848.0,256893459.0,0,0,0,0,0,0,1,0.9,0.0
2014-04-28,241292798.0,416482875.0,315904149.0,151211943.0,497687416.0,1,0,0,0,0,0,0,0.9333333333,1.0
2014-04-29,413667536.0,329994810.0,333481946.0,241500693.0,280407782.0,0,1,0,0,0,0,0,0.9666666667,1.0
2014-04-30,340918574.0,289670313.0,258644563.0,301919971.0,234601543.0,0,0,1,0,0,0,0,1.0,1.0
2014-05-01,274590040.0,348965167.0,259158950.0,292651452.0,259172151.0,0,0,0,1,0,0,0,0.0322580645,0.0
2014-05-02,113440731.0,231507912.0,212558260.0,263431235.0,171218775.0,0,0,0,0,1,0,0,0.064516129,0.0
2014-05-03,103269793.0,110439209.0,161932743.0,177456118.0,130175071.0,0,0,0,0,0,1,0,0.0967741935,0.0
2014-05-04,174430184.0,241292798.0,175154181.0,199455537.0,86148848.0,0,0,0,0,0,0,1,0.1290322581,1.0
2014-05-05,282088123.0,413667536.0,416482875.0,315904149.0,151211943.0,1,0,0,0,0,0,0,0.1612903226,1.0
2014-05-06,324920452.0,340918574.0,329994810.0,333481946.0,241500693.0,0,1,0,0,0,0,0,0.1935483871,1.0
2014-05-07,295986647.0,274590040.0,289670313.0,258644563.0,301919971.0,0,0,1,0,0,0,0,0.2258064516,1.0
2014-05-08,221742769.0,113440731.0,348965167.0,259158950.0,292651452.0,0,0,0,1,0,0,0,0.2580645161,1.0
