report_date,total_purchase_amt
20140501,197451051
20140502,129869154
20140503,229609301
20140504,297192156
20140505,425987710
20140506,323536443
20140507,406395515
20140508,353562072
20140509,265472393
20140510,227672886
20140511,208480221
20140512,285228437
20140513,362372059
20140514,290208996
20140515,303286621
20140516,254644568
20140517,116291491
20140518,161097108
20140519,347718384
20140520,286615315
20140521,241015636
20140522,273390048
20140523,200156003
20140524,141641047
20140525,169866612
20140526,266803815
20140527,249676185
20140528,268930576
20140529,339227554
20140530,248860973
20140531,128370165
20140601,143942297
20140602,176770324
20140603,285424724
20140604,275697613
20140605,309000179
20140606,255880246
20140607,155141863
20140608,181144835
20140609,442360742
20140610,389636668
20140611,311384505
20140612,267188252
20140613,256177180
20140614,148539864
20140615,201999390
20140616,336917078
20140617,324524255
20140618,266480068
20140619,282577514
20140620,226974141
20140621,186364721
20140622,143403001
20140623,304220528
20140624,298405851
20140625,271335080
20140626,223576983
20140627,186455771
20140628,181197896
20140629,171945311
20140630,331665096
20140701,379361211
20140702,301263008
20140703,205360896
20140704,221546458
20140705,162447667
20140706,163090528
20140707,330300280
20140708,237821679
20140709,254180106
20140710,277110154
20140711,233743113
20140712,149584303
20140713,142610813
20140714,246080213
20140715,299355385
20140716,277080654
20140717,254493213
20140718,191967546
20140719,153934641
20140720,174324225
20140721,241509367
20140722,222479621
20140723,281820273
20140724,257332381
20140725,203397102
20140726,198457820
20140727,162389176
20140728,253136439
20140729,325692942
20140730,239088792
20140731,228056623
20140801,378242546
20140802,152120792
20140803,154077981
20140804,254890053
20140805,311680953
20140806,269143684
20140807,256485155
20140808,228097887
20140809,146751994
20140810,164174384
20140811,284695009
20140812,260705801
20140813,262139305
20140814,248894735
20140815,268968079
20140816,158553438
20140817,161198309
20140818,280533543
20140819,236052637
20140820,209205785
20140821,234392568
20140822,182566127
20140823,154613502
20140824,134164401
20140825,283116043
20140826,241046273
20140827,227515169
20140828,240376956
20140829,214114844
20140830,183547267
20140831,205369438
