report_date,total_redeem_amt
20140501,113440731
20140502,103269793
20140503,174430184
20140504,282088123
20140505,324920452
20140506,295986647
20140507,221742769
20140508,267751934
20140509,158473997
20140510,258495276
20140511,142970887
20140512,338432936
20140513,250343867
20140514,297491596
20140515,435249186
20140516,200510199
20140517,179594252
20140518,145479624
20140519,422101826
20140520,197106347
20140521,292385050
20140522,295631432
20140523,223981714
20140524,233305829
20140525,147245163
20140526,415178334
20140527,369000169
20140528,381785376
20140529,402129748
20140530,276489019
20140531,153225467
20140601,111076626
20140602,157408750
20140603,372184784
20140604,327061084
20140605,302841375
20140606,217295228
20140607,206165504
20140608,180076832
20140609,241085611
20140610,282137606
20140611,277431859
20140612,256164551
20140613,284281673
20140614,289810759
20140615,217992393
20140616,383963086
20140617,331341050
20140618,358972950
20140619,322086055
20140620,333222993
20140621,169065467
20140622,232029485
20140623,444554691
20140624,342707532
20140625,319358448
20140626,498151313
20140627,307276813
20140628,199382031
20140629,238934317
20140630,425796747
20140701,358485374
20140702,364268994
20140703,257959811
20140704,253548445
20140705,168602028
20140706,250453540
20140707,332660498
20140708,363952447
20140709,308883169
20140710,322207184
20140711,266630674
20140712,173485119
20140713,218339981
20140714,272164963
20140715,369452520
20140716,278415089
20140717,204597291
20140718,162854740
20140719,122809272
20140720,157986108
20140721,325273684
20140722,307691465
20140723,289004852
20140724,284291000
20140725,233005216
20140726,152163398
20140727,281734449
20140728,393656353
20140729,185509598
20140730,278053927
20140731,269628521
20140801,282593743
20140802,162090956
20140803,121165959
20140804,248676024
20140805,278473251
20140806,247713799
20140807,283816788
20140808,204391027
20140809,143619719
20140810,223625820
20140811,385895199
20140812,254258310
20140813,308734578
20140814,252702796
20140815,221094668
20140816,158797400
20140817,194379633
20140818,385940924
20140819,247704409
20140820,244720592
20140821,185570807
20140822,232911054
20140823,196780196
20140824,209908787
20140825,264492485
20140826,271225580
20140827,345649378
20140828,327274182
20140829,359195182
20140830,201759798
20140831,159162656
