report_date,total_purchase_amt,total_redeem_amt,week
20130701,22533121,1238748,MON
20130702,29624840,3215499,THU
20130703,22525940,4385918,WED
20130704,32111643,12845583,THU
20130705,16129924,2551703,FRI
20130706,16179865,2289341,SAT
20130707,15516443,4363341,SUN
20130708,98730828,15888356,MON
20130709,18623071,11374271,THU
20130710,42210154,18319144,WED
20130711,29843023,2158990,THU
20130712,23202473,4829301,FRI
20130713,19218553,2218978,SAT
20130714,101209093,3375744,SUN
20130715,106271409,25375610,MON
20130716,26323198,32164805,THU
20130717,28834269,26631817,WED
20130718,27609385,8142301,THU
20130719,126301368,3413665,FRI
20130720,20662791,4557888,SAT
20130721,81375803,7068179,SUN
20130722,37844074,9073308,MON
20130723,25115410,8675669,THU
20130724,29405789,9348626,WED
20130725,123922858,62652056,THU
20130726,25835746,11721842,FRI
20130727,31021548,5723416,SAT
20130728,26260152,32887218,SUN
20130729,59130418,14375762,MON
20130730,35410500,16427906,THU
20130731,122942064,13151366,WED
20130801,61905830,6159040,THU
20130802,73104389,20410883,FRI
20130803,31370682,24942267,SAT
20130804,45251520,16648439,SUN
20130805,51533056,123111835,MON
20130806,27348705,23304219,THU
20130807,24953363,13675014,WED
20130808,44702970,10561475,THU
20130809,46197838,15546146,FRI
20130810,44403831,41942573,SAT
20130811,42840984,5443051,SUN
20130812,33901418,43533052,MON
20130813,45856548,29325894,THU
20130814,39066415,23721318,WED
20130815,29238678,21981558,THU
20130816,54635823,58314359,FRI
20130817,15688245,51457176,SAT
20130818,45069353,35585574,SUN
20130819,48319110,27409347,MON
20130820,51304276,27002747,THU
20130821,45762636,18370111,WED
20130822,26545809,18620771,THU
20130823,33855284,16009856,FRI
20130824,54574111,14426635,SAT
20130825,17586501,12426430,SUN
20130826,52044963,16794905,MON
20130827,49273164,23573930,THU
20130828,57249467,68685109,WED
20130829,31008331,29996101,THU
20130830,29172174,17631447,FRI
20130831,27720016,12893797,SAT
20130901,60276302,18155299,SUN
20130902,42168974,27437595,MON
20130903,58345539,20886668,THU
20130904,55301172,23688242,WED
20130905,42500904,17937329,THU
20130906,38650095,22744929,FRI
20130907,49801798,17830433,SAT
20130908,24810658,19393890,SUN
20130909,55565482,22529834,MON
20130910,81305151,61880908,THU
20130911,93077458,45646088,WED
20130912,50035862,16797004,THU
20130913,48041116,10624127,FRI
20130914,34379286,22263774,SAT
20130915,38956366,17385227,SUN
20130916,104399397,14276435,MON
20130917,75209349,21022169,THU
20130918,41969227,17777697,WED
20130919,40861546,11095259,THU
20130920,33601331,15710134,FRI
20130921,61641978,23219290,SAT
20130922,59188234,75805107,SUN
20130923,37338427,26564396,MON
20130924,56008378,26722196,THU
20130925,107206248,54563516,WED
20130926,49684160,32334604,THU
20130927,51076556,21422361,FRI
20130928,46758852,37660670,SAT
20130929,76038490,77461238,SUN
20130930,49151321,34100714,MON
20131001,22858568,8869210,THU
20131002,15700008,10393202,WED
20131003,7251212,14700007,THU
20131004,22868589,12046540,FRI
20131005,21245166,13019900,SAT
20131006,40318288,14733990,SUN
20131007,56730939,82606688,MON
20131008,115047417,60758100,THU
20131009,67339813,26611167,WED
20131010,93642539,36132959,THU
20131011,68845671,31646212,FRI
20131012,95312628,36724035,SAT
20131013,40381173,46888025,SUN
20131014,158158044,41243215,MON
20131015,108776071,58286788,THU
20131016,156977224,40682099,WED
20131017,73354575,45517673,THU
20131018,80573607,29644051,FRI
20131019,47140830,12115532,SAT
20131020,78146352,27240757,SUN
20131021,92303765,86625521,MON
20131022,79936840,29426313,THU
20131023,91267273,36092748,WED
20131024,78253878,69717843,THU
20131025,72866681,62677596,FRI
20131026,89152724,27504517,SAT
20131027,58360160,25646394,SUN
20131028,175987478,67747746,MON
20131029,147891369,52687221,THU
20131030,123495252,63435426,WED
20131031,105655220,93841828,THU
20131101,90052647,46678116,FRI
20131102,60697754,21879168,SAT
20131103,109705314,33749172,SUN
20131104,134705147,108318485,MON
20131105,170112074,128585154,THU
20131106,177181307,131796343,WED
20131107,219191421,149424128,THU
20131108,249304249,99248361,FRI
20131109,123652022,59247170,SAT
20131110,158993537,123840519,SUN
20131111,143416540,246064757,MON
20131112,173549641,74456493,THU
20131113,158376990,54302781,WED
20131114,148622821,42611824,THU
20131115,116112820,44380574,FRI
20131116,85621804,38584607,SAT
20131117,98492364,35055232,SUN
20131118,145222355,65817333,MON
20131119,165943591,60013853,THU
20131120,149019647,83122720,WED
20131121,236672974,75803920,THU
20131122,139140591,66623532,FRI
20131123,85234876,88449004,SAT
20131124,97522283,60355364,SUN
20131125,188023955,91230946,MON
20131126,181397027,79919049,THU
20131127,152083973,178457547,WED
20131128,152510165,107063218,THU
20131129,144836611,96242909,FRI
20131130,94687796,76461088,SAT
20131201,179080325,95291329,SUN
20131202,207768089,107045755,MON
20131203,176533224,105284341,THU
20131204,253181565,91187713,WED
20131205,152989262,75925859,THU
20131206,198597129,92725974,FRI
20131207,116093484,53512763,SAT
20131208,127532403,53648650,SUN
20131209,214664521,152407205,MON
20131210,281121012,78077384,THU
20131211,316266609,126368276,WED
20131212,172183635,117455386,THU
20131213,146722615,83443683,FRI
20131214,134839018,73250223,SAT
20131215,119396143,59674345,SUN
20131216,188230089,86266515,MON
20131217,212780998,109073593,THU
20131218,190985922,91560802,WED
20131219,144026114,112370684,THU
20131220,131176893,148188232,FRI
20131221,91445173,59536553,SAT
20131222,140558599,56877147,SUN
20131223,190330016,179886396,MON
20131224,182690432,133342747,THU
20131225,153343940,212312830,WED
20131226,187935531,146764679,THU
20131227,173898861,252417542,FRI
20131228,199852196,101848650,SAT
20131229,173772752,74663175,SUN
20131230,286491118,103985798,MON
20131231,326974771,113254499,THU
20140101,335862570,77073258,WED
20140102,301179400,124541441,THU
20140103,291336871,115361983,FRI
20140104,155828144,71718874,SAT
20140105,321343539,106824899,SUN
20140106,371683914,139233405,MON
20140107,339901798,110203644,THU
20140108,271765172,115536959,WED
20140109,345036273,121195295,THU
20140110,296993855,119859597,FRI
20140111,178289447,116820618,SAT
20140112,192128885,80041533,SUN
20140113,292143045,164389088,MON
20140114,337203610,194979118,THU
20140115,233318844,114905112,WED
20140116,490563564,136931314,THU
20140117,262046075,154263565,FRI
20140118,184240864,107190052,SAT
20140119,301523785,117846810,SUN
20140120,312028349,259973410,MON
20140121,337095722,176724296,THU
20140122,462593233,183458941,WED
20140123,294368520,332744686,THU
20140124,450511317,188651670,FRI
20140125,349192126,131010888,SAT
20140126,446945594,214348269,SUN
20140127,715461017,260269121,MON
20140128,870587680,256692351,THU
20140129,1183825013,274603869,WED
20140130,242566772,99811984,THU
20140131,90124260,29125625,FRI
20140201,101183694,51483587,SAT
20140202,86649833,35016210,SUN
20140203,85303404,92071628,MON
20140204,92866528,61618152,THU
20140205,162119647,70100225,WED
20140206,225661839,89786438,THU
20140207,621409043,356235057,FRI
20140208,315242286,134579390,SAT
20140209,336607101,143211947,SUN
20140210,632298767,418611061,MON
20140211,670470102,315239225,THU
20140212,551106906,425221290,WED
20140213,461212821,301079648,THU
20140214,522331058,233371566,FRI
20140215,305214647,110240413,SAT
20140216,361250311,139432186,SUN
20140217,675485671,314699059,MON
20140218,422741202,246229299,THU
20140219,642931201,247608257,WED
20140220,527167832,276717727,THU
20140221,394746918,206572952,FRI
20140222,235659822,129881807,SAT
20140223,308396249,237023147,SUN
20140224,595170010,326481227,MON
20140225,713994252,349836501,THU
20140226,486006154,476270827,WED
20140227,537812517,660825256,THU
20140228,420504763,282310184,FRI
20140301,215356482,148429245,SAT
20140302,275779265,163786963,SUN
20140303,523895828,360144530,MON
20140304,521644375,278261421,THU
20140305,497668868,275381156,WED
20140306,495755683,366030834,THU
20140307,492623841,274009352,FRI
20140308,215355021,157996615,SAT
20140309,296559440,169872578,SUN
20140310,533357693,296534165,MON
20140311,488913889,267437055,TUE
20140312,317050657,298538230,WED
20140313,438410772,255918695,THU
20140314,319556555,270497983,FRI
20140315,201137958,242196362,SAT
20140316,219592025,188184766,SUN
20140317,411958428,420064650,MON
20140318,302616910,341931886,TUE
20140319,295342178,414884867,WED
20140320,302584612,304013906,THU
20140321,274386390,280963645,FRI
20140322,145506447,200897470,SAT
20140323,167604758,160853972,SUN
20140324,330726069,318658552,MON
20140325,337425152,362444778,TUE
20140326,426653122,257938486,WED
20140327,266160879,326543305,THU
20140328,223771699,372161003,FRI
20140329,194925803,138171183,SAT
20140330,161565264,256893459,SUN
20140331,377931423,497687416,MON
20140401,424784984,280407782,TUE
20140402,418550858,234601543,WED
20140403,301858010,259172151,THU
20140404,235574221,171218775,FRI
20140405,171320519,130175071,SAT
20140406,132973045,86148848,SUN
20140407,237413785,151211943,MON
20140408,360613734,241500693,TUE
20140409,465391689,301919971,WED
20140410,325897532,292651452,THU
20140411,275556141,263431235,FRI
20140412,198643801,177456118,SAT
20140413,202424482,199455537,SAT
20140414,359340606,315904149,SUN
20140415,337278983,333481946,MON
20140416,344518277,258644563,TUE
20140417,268273324,259158950,WED
20140418,297030419,212558260,THU
20140419,131860659,161932743,FRI
20140420,161634908,175154181,SAT
20140421,381369739,416482875,SAT
20140422,268322472,329994810,SUN
20140423,262963640,289670313,MON
20140424,203798291,348965167,TUE
20140425,320373050,231507912,WED
20140426,184640194,110439209,THU
20140427,167611543,241292798,FRI
20140428,285236269,413667536,SAT
20140429,303772841,340918574,SUN
20140430,232262878,274590040,MON
20140501,197451051,113440731,THU
20140502,129869154,103269793,FRI
20140503,229609301,174430184,SAT
20140504,297192156,282088123,SUN
20140505,425987710,324920452,MON
20140506,323536443,295986647,TUE
20140507,406395515,221742769,WED
20140508,353562072,267751934,THU
20140509,265472393,158473997,FRI
20140510,227672886,258495276,SAT
20140511,208480221,142970887,SUN
20140512,285228437,338432936,MON
20140513,362372059,250343867,TUE
20140514,290208996,297491596,WED
20140515,303286621,435249186,THU
20140516,254644568,200510199,FRI
20140517,116291491,179594252,SAT
20140518,161097108,145479624,SUN
20140519,347718384,422101826,MON
20140520,286615315,197106347,TUE
20140521,241015636,292385050,WED
20140522,273390048,295631432,THU
20140523,200156003,223981714,FRI
20140524,141641047,233305829,SAT
20140525,169866612,147245163,SUN
20140526,266803815,415178334,MON
20140527,249676185,369000169,TUE
20140528,268930576,381785376,WED
20140529,339227554,402129748,THU
20140530,248860973,276489019,FRI
20140531,128370165,153225467,SAT
20140601,143942297,111076626,SUN
20140602,176770324,157408750,MON
20140603,285424724,372184784,TUE
20140604,275697613,327061084,WED
20140605,309000179,302841375,THU
20140606,255880246,217295228,FRI
20140607,155141863,206165504,SAT
20140608,181144835,180076832,SUN
20140609,442360742,241085611,MON
20140610,389636668,282137606,TUE
20140611,311384505,277431859,WED
20140612,267188252,256164551,THU
20140613,256177180,284281673,FRI
20140614,148539864,289810759,SAT
20140615,201999390,217992393,SUN
20140616,336917078,383963086,MON
20140617,324524255,331341050,TUE
20140618,266480068,358972950,WED
20140619,282577514,322086055,THU
20140620,226974141,333222993,FRI
20140621,186364721,169065467,SAT
20140622,143403001,232029485,SUN
20140623,304220528,444554691,MON
20140624,298405851,342707532,TUE
20140625,271335080,319358448,WED
20140626,223576983,498151313,THU
20140627,186455771,307276813,FRI
20140628,181197896,199382031,SAT
20140629,171945311,238934317,SUN
20140630,331665096,425796747,MON
20140701,379361211,358485374,TUE
20140702,301263008,364268994,WED
20140703,205360896,257959811,THU
20140704,221546458,253548445,FRI
20140705,162447667,168602028,SAT
20140706,163090528,250453540,SUN
20140707,330300280,332660498,MON
20140708,237821679,363952447,TUE
20140709,254180106,308883169,WED
20140710,277110154,322207184,THU
20140711,233743113,266630674,FRI
20140712,149584303,173485119,SAT
20140713,142610813,218339981,SUN
20140714,246080213,272164963,MON
20140715,299355385,369452520,TUE
20140716,277080654,278415089,WED
20140717,254493213,204597291,THU
20140718,191967546,162854740,FRI
20140719,153934641,122809272,SAT
20140720,174324225,157986108,SUN
20140721,241509367,325273684,MON
20140722,222479621,307691465,TUE
20140723,281820273,289004852,WED
20140724,257332381,284291000,THU
20140725,203397102,233005216,FRI
20140726,198457820,152163398,SAT
20140727,162389176,281734449,SUN
20140728,253136439,393656353,MON
20140729,325692942,185509598,TUE
20140730,239088792,278053927,WED
20140731,228056623,269628521,THU
20140801,378242546,282593743,FRI
20140802,152120792,162090956,SAT
20140803,154077981,121165959,SUN
20140804,254890053,248676024,MON
20140805,311680953,278473251,TUE
20140806,269143684,247713799,WED
20140807,256485155,283816788,THU
20140808,228097887,204391027,FRI
20140809,146751994,143619719,SAT
20140810,164174384,223625820,SUN
20140811,284695009,385895199,MON
20140812,260705801,254258310,TUE
20140813,262139305,308734578,WED
20140814,248894735,252702796,THU
20140815,268968079,221094668,FRI
20140816,158553438,158797400,SAT
20140817,161198309,194379633,SUN
20140818,280533543,385940924,MON
20140819,236052637,247704409,TUE
20140820,209205785,244720592,WED
20140821,234392568,185570807,THU
20140822,182566127,232911054,FRI
20140823,154613502,196780196,SAT
20140824,134164401,209908787,SUN
20140825,283116043,264492485,MON
20140826,241046273,271225580,TUE
20140827,227515169,345649378,WED
20140828,240376956,327274182,THU
20140829,214114844,359195182,FRI
20140830,183547267,201759798,SAT
20140831,205369438,159162656,SUN
