report_date,yesterday_purchase,yesterday_redeem,week1,week2,week3,week4,day_of_week,day_of_month,isweekend,mfd_daily_yield,mfd_7daily_yield,Interest_3_M,shouldwork,dayofmonth_percent,term_percent
20140901,205369438,159162656,283116043,280533543,284695009,254890053,1,1,0,1.1171,4.2,4.6665,1,0.0333333333,0.2
20140902,,,,,,,2,2,0,1.1011,4.224,4.6654,1,0.0666666667,0.4
20140903,,,,,,,3,3,0,1.1226,4.23,4.6652,1,0.1,0.6
20140904,,,,,,,4,4,0,1.1086,4.22,4.6632,1,0.1333333333,0.8
20140905,,,,,,,5,5,0,1.1759,4.218,4.6539,1,0.1666666667,1
20140906,,,,,,,6,6,1,1.1534,4.18,4.6539,0,0.2,0.3333333333
20140907,,,,,,,7,7,1,1.1118,4.183,4.6539,0,0.2333333333,0.6666666667
20140908,,,,,,,1,8,0,1.162,4.181,4.6539,0,0.2666666667,1
20140909,,,,,,,2,9,0,1.1118,4.166,4.6522,1,0.3,0.25
20140910,,,,,,,3,10,0,1.1045,4.166,4.6495,1,0.3333333333,0.5
20140911,,,,,,,4,11,0,1.1047,4.166,4.642,1,0.3666666667,0.75
20140912,,,,,,,5,12,0,1.105,4.166,4.6421,1,0.4,1
20140913,,,,,,,6,13,1,1.1604,4.166,4.6421,0,0.4333333333,0.5
20140914,,,,,,,7,14,1,1.1072,4.151,4.6421,0,0.4666666667,1
20140915,,,,,,,1,15,0,1.1341,4.154,4.6393,1,0.5,0.2
20140916,,,,,,,2,16,0,1.1118,4.151,4.6349,1,0.5333333333,0.4
20140917,,,,,,,3,17,0,1.1046,4.148,4.6296,1,0.5666666667,0.6
20140918,,,,,,,4,18,0,1.1047,4.149,4.6206,1,0.6,0.8
20140919,,,,,,,5,19,0,1.1054,4.15,4.607,1,0.6333333333,1
20140920,,,,,,,6,20,1,1.1327,4.158,4.607,0,0.6666666667,0.5
20140921,,,,,,,7,21,1,1.1127,4.154,4.607,0,0.7,1
20140922,,,,,,,1,22,0,1.1291,4.155,4.5986,1,0.7333333333,0.2
20140923,,,,,,,2,23,0,1.1058,4.143,4.587,1,0.7666666667,0.4
20140924,,,,,,,3,24,0,1.106,4.151,4.5741,1,0.8,0.6
20140925,,,,,,,4,25,0,1.1064,4.158,4.562,1,0.8333333333,0.8
20140926,,,,,,,5,26,0,1.1205,4.166,4.5565,1,0.8666666667,1
20140927,,,,,,,6,27,1,1.1256,4.164,4.5565,0,0.9,1
20140928,,,,,,,7,28,1,1.1151,4.153,4.5528,1,0.9333333333,0.3333333333
20140929,,,,,,,1,29,0,1.107,4.149,4.55,1,0.9666666667,0.6666666667
20140930,,,,,,,2,30,0,1.1192,4.15,4.5445,1,1,1
