report_date,yesterday_purchase,week1_purchase,week2_purchase,week3_purchase,week4_purchase,MON,TUE,WED,THU,FRI,SAT,SUN,dayofmonth_percent,shouldwork,yesterday_redeem
2014-04-01,377931423.0,337425152.0,302616910.0,488913889.0,521644375.0,0,1,0,0,0,0,0,0.033333333300000004,1.0,497687416.0
2014-04-02,424784984.0,426653122.0,295342178.0,317050657.0,497668868.0,0,0,1,0,0,0,0,0.0666666667,1.0,280407782.0
2014-04-03,418550858.0,266160879.0,302584612.0,438410772.0,495755683.0,0,0,0,1,0,0,0,0.1,1.0,234601543.0
2014-04-04,301858010.0,223771699.0,274386390.0,319556555.0,492623841.0,0,0,0,0,1,0,0,0.1333333333,1.0,259172151.0
2014-04-05,235574221.0,194925803.0,145506447.0,201137958.0,215355021.0,0,0,0,0,0,1,0,0.1666666667,0.0,171218775.0
2014-04-06,171320519.0,161565264.0,167604758.0,219592025.0,296559440.0,0,0,0,0,0,0,1,0.2,0.0,130175071.0
2014-04-07,132973045.0,377931423.0,330726069.0,411958428.0,533357693.0,1,0,0,0,0,0,0,0.23333333329999997,0.0,86148848.0
2014-04-08,237413785.0,424784984.0,337425152.0,302616910.0,488913889.0,0,1,0,0,0,0,0,0.2666666667,1.0,151211943.0
2014-04-09,360613734.0,418550858.0,426653122.0,295342178.0,317050657.0,0,0,1,0,0,0,0,0.3,1.0,241500693.0
2014-04-10,465391689.0,301858010.0,266160879.0,302584612.0,438410772.0,0,0,0,1,0,0,0,0.3333333333,1.0,301919971.0
2014-04-11,325897532.0,235574221.0,223771699.0,274386390.0,319556555.0,0,0,0,0,1,0,0,0.36666666670000003,1.0,292651452.0
2014-04-12,275556141.0,171320519.0,194925803.0,145506447.0,201137958.0,0,0,0,0,0,1,0,0.4,0.0,263431235.0
2014-04-13,198643801.0,132973045.0,161565264.0,167604758.0,219592025.0,0,0,0,0,0,0,1,0.43333333329999996,0.0,177456118.0
2014-04-14,202424482.0,237413785.0,377931423.0,330726069.0,411958428.0,1,0,0,0,0,0,0,0.4666666667,1.0,199455537.0
2014-04-15,359340606.0,360613734.0,424784984.0,337425152.0,302616910.0,0,1,0,0,0,0,0,0.5,1.0,315904149.0
2014-04-16,337278983.0,465391689.0,418550858.0,426653122.0,295342178.0,0,0,1,0,0,0,0,0.5333333333,1.0,333481946.0
2014-04-17,344518277.0,325897532.0,301858010.0,266160879.0,302584612.0,0,0,0,1,0,0,0,0.5666666667,1.0,258644563.0
2014-04-18,268273324.0,275556141.0,235574221.0,223771699.0,274386390.0,0,0,0,0,1,0,0,0.6,1.0,259158950.0
2014-04-19,297030419.0,198643801.0,171320519.0,194925803.0,145506447.0,0,0,0,0,0,1,0,0.6333333333,0.0,212558260.0
2014-04-20,131860659.0,202424482.0,132973045.0,161565264.0,167604758.0,0,0,0,0,0,0,1,0.6666666667,0.0,161932743.0
2014-04-21,161634908.0,359340606.0,237413785.0,377931423.0,330726069.0,1,0,0,0,0,0,0,0.7,1.0,175154181.0
2014-04-22,381369739.0,337278983.0,360613734.0,424784984.0,337425152.0,0,1,0,0,0,0,0,0.7333333333,1.0,416482875.0
2014-04-23,268322472.0,344518277.0,465391689.0,418550858.0,426653122.0,0,0,1,0,0,0,0,0.7666666667,1.0,329994810.0
2014-04-24,262963640.0,268273324.0,325897532.0,301858010.0,266160879.0,0,0,0,1,0,0,0,0.8,1.0,289670313.0
2014-04-25,203798291.0,297030419.0,275556141.0,235574221.0,223771699.0,0,0,0,0,1,0,0,0.8333333333,1.0,348965167.0
2014-04-26,320373050.0,131860659.0,198643801.0,171320519.0,194925803.0,0,0,0,0,0,1,0,0.8666666667,0.0,231507912.0
2014-04-27,184640194.0,161634908.0,202424482.0,132973045.0,161565264.0,0,0,0,0,0,0,1,0.9,0.0,110439209.0
2014-04-28,167611543.0,381369739.0,359340606.0,237413785.0,377931423.0,1,0,0,0,0,0,0,0.9333333333,1.0,241292798.0
2014-04-29,285236269.0,268322472.0,337278983.0,360613734.0,424784984.0,0,1,0,0,0,0,0,0.9666666667,1.0,413667536.0
2014-04-30,303772841.0,262963640.0,344518277.0,465391689.0,418550858.0,0,0,1,0,0,0,0,1.0,1.0,340918574.0
2014-05-01,232262878.0,203798291.0,268273324.0,325897532.0,301858010.0,0,0,0,1,0,0,0,0.0322580645,0.0,274590040.0
2014-05-02,197451051.0,320373050.0,297030419.0,275556141.0,235574221.0,0,0,0,0,1,0,0,0.064516129,0.0,113440731.0
2014-05-03,129869154.0,184640194.0,131860659.0,198643801.0,171320519.0,0,0,0,0,0,1,0,0.0967741935,0.0,103269793.0
2014-05-04,229609301.0,167611543.0,161634908.0,202424482.0,132973045.0,0,0,0,0,0,0,1,0.12903225810000002,1.0,174430184.0
2014-05-05,297192156.0,285236269.0,381369739.0,359340606.0,237413785.0,1,0,0,0,0,0,0,0.1612903226,1.0,282088123.0
2014-05-06,425987710.0,303772841.0,268322472.0,337278983.0,360613734.0,0,1,0,0,0,0,0,0.1935483871,1.0,324920452.0
2014-05-07,323536443.0,232262878.0,262963640.0,344518277.0,465391689.0,0,0,1,0,0,0,0,0.2258064516,1.0,295986647.0
2014-05-08,406395515.0,197451051.0,203798291.0,268273324.0,325897532.0,0,0,0,1,0,0,0,0.2580645161,1.0,221742769.0
2014-05-09,353562072.0,129869154.0,320373050.0,297030419.0,275556141.0,0,0,0,0,1,0,0,0.2903225806,1.0,267751934.0
2014-05-10,265472393.0,229609301.0,184640194.0,131860659.0,198643801.0,0,0,0,0,0,1,0,0.3225806452,0.0,158473997.0
2014-05-11,227672886.0,297192156.0,167611543.0,161634908.0,202424482.0,0,0,0,0,0,0,1,0.3548387097,0.0,258495276.0
2014-05-12,208480221.0,425987710.0,285236269.0,381369739.0,359340606.0,1,0,0,0,0,0,0,0.3870967742,1.0,142970887.0
2014-05-13,285228437.0,323536443.0,303772841.0,268322472.0,337278983.0,0,1,0,0,0,0,0,0.41935483869999995,1.0,338432936.0
2014-05-14,362372059.0,406395515.0,232262878.0,262963640.0,344518277.0,0,0,1,0,0,0,0,0.4516129032,1.0,250343867.0
2014-05-15,290208996.0,353562072.0,197451051.0,203798291.0,268273324.0,0,0,0,1,0,0,0,0.48387096770000004,1.0,297491596.0
2014-05-16,303286621.0,265472393.0,129869154.0,320373050.0,297030419.0,0,0,0,0,1,0,0,0.5161290323,1.0,435249186.0
2014-05-17,254644568.0,227672886.0,229609301.0,184640194.0,131860659.0,0,0,0,0,0,1,0,0.5483870968,0.0,200510199.0
2014-05-18,116291491.0,208480221.0,297192156.0,167611543.0,161634908.0,0,0,0,0,0,0,1,0.5806451613,0.0,179594252.0
2014-05-19,161097108.0,285228437.0,425987710.0,285236269.0,381369739.0,1,0,0,0,0,0,0,0.6129032258,1.0,145479624.0
2014-05-20,347718384.0,362372059.0,323536443.0,303772841.0,268322472.0,0,1,0,0,0,0,0,0.6451612903,1.0,422101826.0
2014-05-21,286615315.0,290208996.0,406395515.0,232262878.0,262963640.0,0,0,1,0,0,0,0,0.6774193548,1.0,197106347.0
2014-05-22,241015636.0,303286621.0,353562072.0,197451051.0,203798291.0,0,0,0,1,0,0,0,0.7096774194,1.0,292385050.0
2014-05-23,273390048.0,254644568.0,265472393.0,129869154.0,320373050.0,0,0,0,0,1,0,0,0.7419354839,1.0,295631432.0
2014-05-24,200156003.0,116291491.0,227672886.0,229609301.0,184640194.0,0,0,0,0,0,1,0,0.7741935484,0.0,223981714.0
2014-05-25,141641047.0,161097108.0,208480221.0,297192156.0,167611543.0,0,0,0,0,0,0,1,0.8064516129000001,0.0,233305829.0
2014-05-26,169866612.0,347718384.0,285228437.0,425987710.0,285236269.0,1,0,0,0,0,0,0,0.8387096773999999,1.0,147245163.0
2014-05-27,266803815.0,286615315.0,362372059.0,323536443.0,303772841.0,0,1,0,0,0,0,0,0.8709677418999999,1.0,415178334.0
2014-05-28,249676185.0,241015636.0,290208996.0,406395515.0,232262878.0,0,0,1,0,0,0,0,0.9032258065000001,1.0,369000169.0
2014-05-29,268930576.0,273390048.0,303286621.0,353562072.0,197451051.0,0,0,0,1,0,0,0,0.935483871,1.0,381785376.0
2014-05-30,339227554.0,200156003.0,254644568.0,265472393.0,129869154.0,0,0,0,0,1,0,0,0.9677419355,1.0,402129748.0
2014-05-31,248860973.0,141641047.0,116291491.0,227672886.0,229609301.0,0,0,0,0,0,1,0,1.0,0.0,276489019.0
2014-06-01,128370165.0,169866612.0,161097108.0,208480221.0,297192156.0,0,0,0,0,0,0,1,0.033333333300000004,0.0,153225467.0
2014-06-02,143942297.0,266803815.0,347718384.0,285228437.0,425987710.0,1,0,0,0,0,0,0,0.0666666667,0.0,111076626.0
2014-06-03,176770324.0,249676185.0,286615315.0,362372059.0,323536443.0,0,1,0,0,0,0,0,0.1,1.0,157408750.0
2014-06-04,285424724.0,268930576.0,241015636.0,290208996.0,406395515.0,0,0,1,0,0,0,0,0.1333333333,1.0,372184784.0
2014-06-05,275697613.0,339227554.0,273390048.0,303286621.0,353562072.0,0,0,0,1,0,0,0,0.1666666667,1.0,327061084.0
2014-06-06,309000179.0,248860973.0,200156003.0,254644568.0,265472393.0,0,0,0,0,1,0,0,0.2,1.0,302841375.0
2014-06-07,255880246.0,128370165.0,141641047.0,116291491.0,227672886.0,0,0,0,0,0,1,0,0.23333333329999997,0.0,217295228.0
2014-06-08,155141863.0,143942297.0,169866612.0,161097108.0,208480221.0,0,0,0,0,0,0,1,0.2666666667,0.0,206165504.0
2014-06-09,181144835.0,176770324.0,266803815.0,347718384.0,285228437.0,1,0,0,0,0,0,0,0.3,1.0,180076832.0
2014-06-10,442360742.0,285424724.0,249676185.0,286615315.0,362372059.0,0,1,0,0,0,0,0,0.3333333333,1.0,241085611.0
2014-06-11,389636668.0,275697613.0,268930576.0,241015636.0,290208996.0,0,0,1,0,0,0,0,0.36666666670000003,1.0,282137606.0
2014-06-12,311384505.0,309000179.0,339227554.0,273390048.0,303286621.0,0,0,0,1,0,0,0,0.4,1.0,277431859.0
2014-06-13,267188252.0,255880246.0,248860973.0,200156003.0,254644568.0,0,0,0,0,1,0,0,0.43333333329999996,1.0,256164551.0
2014-06-14,256177180.0,155141863.0,128370165.0,141641047.0,116291491.0,0,0,0,0,0,1,0,0.4666666667,0.0,284281673.0
2014-06-15,148539864.0,181144835.0,143942297.0,169866612.0,161097108.0,0,0,0,0,0,0,1,0.5,0.0,289810759.0
2014-06-16,201999390.0,442360742.0,176770324.0,266803815.0,347718384.0,1,0,0,0,0,0,0,0.5333333333,1.0,217992393.0
2014-06-17,336917078.0,389636668.0,285424724.0,249676185.0,286615315.0,0,1,0,0,0,0,0,0.5666666667,1.0,383963086.0
2014-06-18,324524255.0,311384505.0,275697613.0,268930576.0,241015636.0,0,0,1,0,0,0,0,0.6,1.0,331341050.0
2014-06-19,266480068.0,267188252.0,309000179.0,339227554.0,273390048.0,0,0,0,1,0,0,0,0.6333333333,1.0,358972950.0
2014-06-20,282577514.0,256177180.0,255880246.0,248860973.0,200156003.0,0,0,0,0,1,0,0,0.6666666667,1.0,322086055.0
2014-06-21,226974141.0,148539864.0,155141863.0,128370165.0,141641047.0,0,0,0,0,0,1,0,0.7,0.0,333222993.0
2014-06-22,186364721.0,201999390.0,181144835.0,143942297.0,169866612.0,0,0,0,0,0,0,1,0.7333333333,0.0,169065467.0
