report_date,yesterday_redeem,week1_redeem,week2_redeem,week3_redeem,week4_redeem,MON,TUE,WED,THU,FRI,SAT,SUN,dayofmonth_percent,shouldwork,yesterday_purchase
2014-04-01,497687416.0,362444778.0,341931886.0,267437055.0,278261421.0,0,1,0,0,0,0,0,0.033333333300000004,1.0,377931423.0
2014-04-02,280407782.0,257938486.0,414884867.0,298538230.0,275381156.0,0,0,1,0,0,0,0,0.0666666667,1.0,424784984.0
2014-04-03,234601543.0,326543305.0,304013906.0,255918695.0,366030834.0,0,0,0,1,0,0,0,0.1,1.0,418550858.0
2014-04-04,259172151.0,372161003.0,280963645.0,270497983.0,274009352.0,0,0,0,0,1,0,0,0.1333333333,1.0,301858010.0
2014-04-05,171218775.0,138171183.0,200897470.0,242196362.0,157996615.0,0,0,0,0,0,1,0,0.1666666667,0.0,235574221.0
2014-04-06,130175071.0,256893459.0,160853972.0,188184766.0,169872578.0,0,0,0,0,0,0,1,0.2,0.0,171320519.0
2014-04-07,86148848.0,497687416.0,318658552.0,420064650.0,296534165.0,1,0,0,0,0,0,0,0.23333333329999997,0.0,132973045.0
2014-04-08,151211943.0,280407782.0,362444778.0,341931886.0,267437055.0,0,1,0,0,0,0,0,0.2666666667,1.0,237413785.0
2014-04-09,241500693.0,234601543.0,257938486.0,414884867.0,298538230.0,0,0,1,0,0,0,0,0.3,1.0,360613734.0
2014-04-10,301919971.0,259172151.0,326543305.0,304013906.0,255918695.0,0,0,0,1,0,0,0,0.3333333333,1.0,465391689.0
2014-04-11,292651452.0,171218775.0,372161003.0,280963645.0,270497983.0,0,0,0,0,1,0,0,0.36666666670000003,1.0,325897532.0
2014-04-12,263431235.0,130175071.0,138171183.0,200897470.0,242196362.0,0,0,0,0,0,1,0,0.4,0.0,275556141.0
2014-04-13,177456118.0,86148848.0,256893459.0,160853972.0,188184766.0,0,0,0,0,0,0,1,0.43333333329999996,0.0,198643801.0
2014-04-14,199455537.0,151211943.0,497687416.0,318658552.0,420064650.0,1,0,0,0,0,0,0,0.4666666667,1.0,202424482.0
2014-04-15,315904149.0,241500693.0,280407782.0,362444778.0,341931886.0,0,1,0,0,0,0,0,0.5,1.0,359340606.0
2014-04-16,333481946.0,301919971.0,234601543.0,257938486.0,414884867.0,0,0,1,0,0,0,0,0.5333333333,1.0,337278983.0
2014-04-17,258644563.0,292651452.0,259172151.0,326543305.0,304013906.0,0,0,0,1,0,0,0,0.5666666667,1.0,344518277.0
2014-04-18,259158950.0,263431235.0,171218775.0,372161003.0,280963645.0,0,0,0,0,1,0,0,0.6,1.0,268273324.0
2014-04-19,212558260.0,177456118.0,130175071.0,138171183.0,200897470.0,0,0,0,0,0,1,0,0.6333333333,0.0,297030419.0
2014-04-20,161932743.0,199455537.0,86148848.0,256893459.0,160853972.0,0,0,0,0,0,0,1,0.6666666667,0.0,131860659.0
2014-04-21,175154181.0,315904149.0,151211943.0,497687416.0,318658552.0,1,0,0,0,0,0,0,0.7,1.0,161634908.0
2014-04-22,416482875.0,333481946.0,241500693.0,280407782.0,362444778.0,0,1,0,0,0,0,0,0.7333333333,1.0,381369739.0
2014-04-23,329994810.0,258644563.0,301919971.0,234601543.0,257938486.0,0,0,1,0,0,0,0,0.7666666667,1.0,268322472.0
