report_date,yesterday_redeem,week1_redeem,week2_redeem,week3_redeem,week4_redeem,MON,TUE,WED,THU,FRI,SAT,SUN,dayofmonth_percent,shouldwork,yesterday_purchase,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14
2014-05-01,274590040.0,348965167.0,259158950.0,292651452.0,259172151.0,0,0,0,1,0,0,0,0.0322580645,0.0,232262878.0,-42327162.0,-37145733.0,-128431267.0,-73681255.0,74200985.0,88865138.0,-145166876.0,-42327162.0,-37145733.0,-128431267.0,-73681255.0,74200985.0,88865138.0,-145166876.0
2014-05-02,113440731.0,231507912.0,212558260.0,263431235.0,171218775.0,0,0,0,0,1,0,0,0.064516129,0.0,197451051.0,84010320.0,-42327162.0,-37145733.0,-128431267.0,-73681255.0,74200985.0,88865138.0,84010320.0,-42327162.0,-37145733.0,-128431267.0,-73681255.0,74200985.0,88865138.0
2014-05-03,103269793.0,110439209.0,161932743.0,177456118.0,130175071.0,0,0,0,0,0,1,0,0.0967741935,0.0,129869154.0,26599361.0,84010320.0,-42327162.0,-37145733.0,-128431267.0,-73681255.0,74200985.0,26599361.0,84010320.0,-42327162.0,-37145733.0,-128431267.0,-73681255.0,74200985.0
2014-05-04,174430184.0,241292798.0,175154181.0,199455537.0,86148848.0,0,0,0,0,0,0,1,0.12903225810000002,1.0,229609301.0,55179117.0,26599361.0,84010320.0,-42327162.0,-37145733.0,-128431267.0,-73681255.0,55179117.0,26599361.0,84010320.0,-42327162.0,-37145733.0,-128431267.0,-73681255.0
2014-05-05,282088123.0,413667536.0,416482875.0,315904149.0,151211943.0,1,0,0,0,0,0,0,0.1612903226,1.0,297192156.0,15104033.0,55179117.0,26599361.0,84010320.0,-42327162.0,-37145733.0,-128431267.0,15104033.0,55179117.0,26599361.0,84010320.0,-42327162.0,-37145733.0,-128431267.0
2014-05-06,324920452.0,340918574.0,329994810.0,333481946.0,241500693.0,0,1,0,0,0,0,0,0.1935483871,1.0,425987710.0,101067258.0,15104033.0,55179117.0,26599361.0,84010320.0,-42327162.0,-37145733.0,101067258.0,15104033.0,55179117.0,26599361.0,84010320.0,-42327162.0,-37145733.0
2014-05-07,295986647.0,274590040.0,289670313.0,258644563.0,301919971.0,0,0,1,0,0,0,0,0.2258064516,1.0,323536443.0,27549796.0,101067258.0,15104033.0,55179117.0,26599361.0,84010320.0,-42327162.0,27549796.0,101067258.0,15104033.0,55179117.0,26599361.0,84010320.0,-42327162.0
2014-05-08,221742769.0,113440731.0,348965167.0,259158950.0,292651452.0,0,0,0,1,0,0,0,0.2580645161,1.0,406395515.0,184652746.0,27549796.0,101067258.0,15104033.0,55179117.0,26599361.0,84010320.0,184652746.0,27549796.0,101067258.0,15104033.0,55179117.0,26599361.0,84010320.0
2014-05-09,267751934.0,103269793.0,231507912.0,212558260.0,263431235.0,0,0,0,0,1,0,0,0.2903225806,1.0,353562072.0,85810138.0,184652746.0,27549796.0,101067258.0,15104033.0,55179117.0,26599361.0,85810138.0,184652746.0,27549796.0,101067258.0,15104033.0,55179117.0,26599361.0
2014-05-10,158473997.0,174430184.0,110439209.0,161932743.0,177456118.0,0,0,0,0,0,1,0,0.3225806452,0.0,265472393.0,106998396.0,85810138.0,184652746.0,27549796.0,101067258.0,15104033.0,55179117.0,106998396.0,85810138.0,184652746.0,27549796.0,101067258.0,15104033.0,55179117.0
2014-05-11,258495276.0,282088123.0,241292798.0,175154181.0,199455537.0,0,0,0,0,0,0,1,0.3548387097,0.0,227672886.0,-30822390.0,106998396.0,85810138.0,184652746.0,27549796.0,101067258.0,15104033.0,-30822390.0,106998396.0,85810138.0,184652746.0,27549796.0,101067258.0,15104033.0
2014-05-12,142970887.0,324920452.0,413667536.0,416482875.0,315904149.0,1,0,0,0,0,0,0,0.3870967742,1.0,208480221.0,65509334.0,-30822390.0,106998396.0,85810138.0,184652746.0,27549796.0,101067258.0,65509334.0,-30822390.0,106998396.0,85810138.0,184652746.0,27549796.0,101067258.0
2014-05-13,338432936.0,295986647.0,340918574.0,329994810.0,333481946.0,0,1,0,0,0,0,0,0.41935483869999995,1.0,285228437.0,-53204499.0,65509334.0,-30822390.0,106998396.0,85810138.0,184652746.0,27549796.0,-53204499.0,65509334.0,-30822390.0,106998396.0,85810138.0,184652746.0,27549796.0
2014-05-14,250343867.0,221742769.0,274590040.0,289670313.0,258644563.0,0,0,1,0,0,0,0,0.4516129032,1.0,362372059.0,112028192.0,-53204499.0,65509334.0,-30822390.0,106998396.0,85810138.0,184652746.0,112028192.0,-53204499.0,65509334.0,-30822390.0,106998396.0,85810138.0,184652746.0
2014-05-15,297491596.0,267751934.0,113440731.0,348965167.0,259158950.0,0,0,0,1,0,0,0,0.48387096770000004,1.0,290208996.0,-7282600.0,112028192.0,-53204499.0,65509334.0,-30822390.0,106998396.0,85810138.0,-7282600.0,112028192.0,-53204499.0,65509334.0,-30822390.0,106998396.0,85810138.0
2014-05-16,435249186.0,158473997.0,103269793.0,231507912.0,212558260.0,0,0,0,0,1,0,0,0.5161290323,1.0,303286621.0,-131962565.0,-7282600.0,112028192.0,-53204499.0,65509334.0,-30822390.0,106998396.0,-131962565.0,-7282600.0,112028192.0,-53204499.0,65509334.0,-30822390.0,106998396.0
2014-05-17,200510199.0,258495276.0,174430184.0,110439209.0,161932743.0,0,0,0,0,0,1,0,0.5483870968,0.0,254644568.0,54134369.0,-131962565.0,-7282600.0,112028192.0,-53204499.0,65509334.0,-30822390.0,54134369.0,-131962565.0,-7282600.0,112028192.0,-53204499.0,65509334.0,-30822390.0
2014-05-18,179594252.0,142970887.0,282088123.0,241292798.0,175154181.0,0,0,0,0,0,0,1,0.5806451613,0.0,116291491.0,-63302761.0,54134369.0,-131962565.0,-7282600.0,112028192.0,-53204499.0,65509334.0,-63302761.0,54134369.0,-131962565.0,-7282600.0,112028192.0,-53204499.0,65509334.0
2014-05-19,145479624.0,338432936.0,324920452.0,413667536.0,416482875.0,1,0,0,0,0,0,0,0.6129032258,1.0,161097108.0,15617484.0,-63302761.0,54134369.0,-131962565.0,-7282600.0,112028192.0,-53204499.0,15617484.0,-63302761.0,54134369.0,-131962565.0,-7282600.0,112028192.0,-53204499.0
2014-05-20,422101826.0,250343867.0,295986647.0,340918574.0,329994810.0,0,1,0,0,0,0,0,0.6451612903,1.0,347718384.0,-74383442.0,15617484.0,-63302761.0,54134369.0,-131962565.0,-7282600.0,112028192.0,-74383442.0,15617484.0,-63302761.0,54134369.0,-131962565.0,-7282600.0,112028192.0
2014-05-21,197106347.0,297491596.0,221742769.0,274590040.0,289670313.0,0,0,1,0,0,0,0,0.6774193548,1.0,286615315.0,89508968.0,-74383442.0,15617484.0,-63302761.0,54134369.0,-131962565.0,-7282600.0,89508968.0,-74383442.0,15617484.0,-63302761.0,54134369.0,-131962565.0,-7282600.0
2014-05-22,292385050.0,435249186.0,267751934.0,113440731.0,348965167.0,0,0,0,1,0,0,0,0.7096774194,1.0,241015636.0,-51369414.0,89508968.0,-74383442.0,15617484.0,-63302761.0,54134369.0,-131962565.0,-51369414.0,89508968.0,-74383442.0,15617484.0,-63302761.0,54134369.0,-131962565.0
2014-05-23,295631432.0,200510199.0,158473997.0,103269793.0,231507912.0,0,0,0,0,1,0,0,0.7419354839,1.0,273390048.0,-22241384.0,-51369414.0,89508968.0,-74383442.0,15617484.0,-63302761.0,54134369.0,-22241384.0,-51369414.0,89508968.0,-74383442.0,15617484.0,-63302761.0,54134369.0
2014-05-24,223981714.0,179594252.0,258495276.0,174430184.0,110439209.0,0,0,0,0,0,1,0,0.7741935484,0.0,200156003.0,-23825711.0,-22241384.0,-51369414.0,89508968.0,-74383442.0,15617484.0,-63302761.0,-23825711.0,-22241384.0,-51369414.0,89508968.0,-74383442.0,15617484.0,-63302761.0
2014-05-25,233305829.0,145479624.0,142970887.0,282088123.0,241292798.0,0,0,0,0,0,0,1,0.8064516129000001,0.0,141641047.0,-91664782.0,-23825711.0,-22241384.0,-51369414.0,89508968.0,-74383442.0,15617484.0,-91664782.0,-23825711.0,-22241384.0,-51369414.0,89508968.0,-74383442.0,15617484.0
