report_date,yesterday_purchase,week1_purchase,week2_purchase,week3_purchase,week4_purchase,MON,TUE,WED,THU,FRI,SAT,SUN,dayofmonth_percent,shouldwork,yesterday_redeem,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14
20130701,,,,,,1,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130702,22533121,,,,,0,1,0,0,0,0,0,,,1238748,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130703,29624840,,,,,0,0,1,0,0,0,0,,,3215499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130704,22525940,,,,,0,0,0,1,0,0,0,,,4385918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130705,32111643,,,,,0,0,0,0,1,0,0,,,12845583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130706,16129924,,,,,0,0,0,0,0,1,0,,,2551703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130707,16179865,,,,,0,0,0,0,0,0,1,,,2289341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130708,15516443,22533121,,,,1,0,0,0,0,0,0,,,4363341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130709,98730828,29624840,,,,0,1,0,0,0,0,0,,,15888356,82842472.0,11153102.0,13890524.0,13578221.0,19266060.0,18140022.0,26409341.0,82842472.0,11153102.0,13890524.0,13578221.0,19266060.0,18140022.0,26409341.0
20130710,18623071,22525940,,,,0,0,1,0,0,0,0,,,11374271,7248800.0,82842472.0,11153102.0,13890524.0,13578221.0,19266060.0,18140022.0,7248800.0,82842472.0,11153102.0,13890524.0,13578221.0,19266060.0,18140022.0
20130711,42210154,32111643,,,,0,0,0,1,0,0,0,,,18319144,23891010.0,7248800.0,82842472.0,11153102.0,13890524.0,13578221.0,19266060.0,23891010.0,7248800.0,82842472.0,11153102.0,13890524.0,13578221.0,19266060.0
20130712,29843023,16129924,,,,0,0,0,0,1,0,0,,,2158990,27684033.0,23891010.0,7248800.0,82842472.0,11153102.0,13890524.0,13578221.0,27684033.0,23891010.0,7248800.0,82842472.0,11153102.0,13890524.0,13578221.0
20130713,23202473,16179865,,,,0,0,0,0,0,1,0,,,4829301,18373172.0,27684033.0,23891010.0,7248800.0,82842472.0,11153102.0,13890524.0,18373172.0,27684033.0,23891010.0,7248800.0,82842472.0,11153102.0,13890524.0
20130714,19218553,15516443,,,,0,0,0,0,0,0,1,,,2218978,16999575.0,18373172.0,27684033.0,23891010.0,7248800.0,82842472.0,11153102.0,16999575.0,18373172.0,27684033.0,23891010.0,7248800.0,82842472.0,11153102.0
20130715,101209093,98730828,22533121,,,1,0,0,0,0,0,0,,,3375744,97833349.0,16999575.0,18373172.0,27684033.0,23891010.0,7248800.0,82842472.0,97833349.0,16999575.0,18373172.0,27684033.0,23891010.0,7248800.0,82842472.0
20130716,106271409,18623071,29624840,,,0,1,0,0,0,0,0,,,25375610,80895799.0,97833349.0,16999575.0,18373172.0,27684033.0,23891010.0,7248800.0,80895799.0,97833349.0,16999575.0,18373172.0,27684033.0,23891010.0,7248800.0
20130717,26323198,42210154,22525940,,,0,0,1,0,0,0,0,,,32164805,-5841607.0,80895799.0,97833349.0,16999575.0,18373172.0,27684033.0,23891010.0,-5841607.0,80895799.0,97833349.0,16999575.0,18373172.0,27684033.0,23891010.0
20130718,28834269,29843023,32111643,,,0,0,0,1,0,0,0,,,26631817,2202452.0,-5841607.0,80895799.0,97833349.0,16999575.0,18373172.0,27684033.0,2202452.0,-5841607.0,80895799.0,97833349.0,16999575.0,18373172.0,27684033.0
20130719,27609385,23202473,16129924,,,0,0,0,0,1,0,0,,,8142301,19467084.0,2202452.0,-5841607.0,80895799.0,97833349.0,16999575.0,18373172.0,19467084.0,2202452.0,-5841607.0,80895799.0,97833349.0,16999575.0,18373172.0
20130720,126301368,19218553,16179865,,,0,0,0,0,0,1,0,,,3413665,122887703.0,19467084.0,2202452.0,-5841607.0,80895799.0,97833349.0,16999575.0,122887703.0,19467084.0,2202452.0,-5841607.0,80895799.0,97833349.0,16999575.0
20130721,20662791,101209093,15516443,,,0,0,0,0,0,0,1,,,4557888,16104903.0,122887703.0,19467084.0,2202452.0,-5841607.0,80895799.0,97833349.0,16104903.0,122887703.0,19467084.0,2202452.0,-5841607.0,80895799.0,97833349.0
20130722,81375803,106271409,98730828,22533121,,1,0,0,0,0,0,0,,,7068179,74307624.0,16104903.0,122887703.0,19467084.0,2202452.0,-5841607.0,80895799.0,74307624.0,16104903.0,122887703.0,19467084.0,2202452.0,-5841607.0,80895799.0
20130723,37844074,26323198,18623071,29624840,,0,1,0,0,0,0,0,,,9073308,28770766.0,74307624.0,16104903.0,122887703.0,19467084.0,2202452.0,-5841607.0,28770766.0,74307624.0,16104903.0,122887703.0,19467084.0,2202452.0,-5841607.0
20130724,25115410,28834269,42210154,22525940,,0,0,1,0,0,0,0,,,8675669,16439741.0,28770766.0,74307624.0,16104903.0,122887703.0,19467084.0,2202452.0,16439741.0,28770766.0,74307624.0,16104903.0,122887703.0,19467084.0,2202452.0
20130725,29405789,27609385,29843023,32111643,,0,0,0,1,0,0,0,,,9348626,20057163.0,16439741.0,28770766.0,74307624.0,16104903.0,122887703.0,19467084.0,20057163.0,16439741.0,28770766.0,74307624.0,16104903.0,122887703.0,19467084.0
20130726,123922858,126301368,23202473,16129924,,0,0,0,0,1,0,0,,,62652056,61270802.0,20057163.0,16439741.0,28770766.0,74307624.0,16104903.0,122887703.0,61270802.0,20057163.0,16439741.0,28770766.0,74307624.0,16104903.0,122887703.0
20130727,25835746,20662791,19218553,16179865,,0,0,0,0,0,1,0,,,11721842,14113904.0,61270802.0,20057163.0,16439741.0,28770766.0,74307624.0,16104903.0,14113904.0,61270802.0,20057163.0,16439741.0,28770766.0,74307624.0,16104903.0
20130728,31021548,81375803,101209093,15516443,,0,0,0,0,0,0,1,,,5723416,25298132.0,14113904.0,61270802.0,20057163.0,16439741.0,28770766.0,74307624.0,25298132.0,14113904.0,61270802.0,20057163.0,16439741.0,28770766.0,74307624.0
20130729,26260152,37844074,106271409,98730828,22533121,1,0,0,0,0,0,0,,,32887218,-6627066.0,25298132.0,14113904.0,61270802.0,20057163.0,16439741.0,28770766.0,-6627066.0,25298132.0,14113904.0,61270802.0,20057163.0,16439741.0,28770766.0
20130730,59130418,25115410,26323198,18623071,29624840,0,1,0,0,0,0,0,,,14375762,44754656.0,-6627066.0,25298132.0,14113904.0,61270802.0,20057163.0,16439741.0,44754656.0,-6627066.0,25298132.0,14113904.0,61270802.0,20057163.0,16439741.0
20130731,35410500,29405789,28834269,42210154,22525940,0,0,1,0,0,0,0,,,16427906,18982594.0,44754656.0,-6627066.0,25298132.0,14113904.0,61270802.0,20057163.0,18982594.0,44754656.0,-6627066.0,25298132.0,14113904.0,61270802.0,20057163.0
20130801,122942064,123922858,27609385,29843023,32111643,0,0,0,1,0,0,0,,,13151366,109790698.0,18982594.0,44754656.0,-6627066.0,25298132.0,14113904.0,61270802.0,109790698.0,18982594.0,44754656.0,-6627066.0,25298132.0,14113904.0,61270802.0
20130802,61905830,25835746,126301368,23202473,16129924,0,0,0,0,1,0,0,,,6159040,55746790.0,109790698.0,18982594.0,44754656.0,-6627066.0,25298132.0,14113904.0,55746790.0,109790698.0,18982594.0,44754656.0,-6627066.0,25298132.0,14113904.0
20130803,73104389,31021548,20662791,19218553,16179865,0,0,0,0,0,1,0,,,20410883,52693506.0,55746790.0,109790698.0,18982594.0,44754656.0,-6627066.0,25298132.0,52693506.0,55746790.0,109790698.0,18982594.0,44754656.0,-6627066.0,25298132.0
20130804,31370682,26260152,81375803,101209093,15516443,0,0,0,0,0,0,1,,,24942267,6428415.0,52693506.0,55746790.0,109790698.0,18982594.0,44754656.0,-6627066.0,6428415.0,52693506.0,55746790.0,109790698.0,18982594.0,44754656.0,-6627066.0
20130805,45251520,59130418,37844074,106271409,98730828,1,0,0,0,0,0,0,,,16648439,28603081.0,6428415.0,52693506.0,55746790.0,109790698.0,18982594.0,44754656.0,28603081.0,6428415.0,52693506.0,55746790.0,109790698.0,18982594.0,44754656.0
20130806,51533056,35410500,25115410,26323198,18623071,0,1,0,0,0,0,0,,,123111835,-71578779.0,28603081.0,6428415.0,52693506.0,55746790.0,109790698.0,18982594.0,-71578779.0,28603081.0,6428415.0,52693506.0,55746790.0,109790698.0,18982594.0
20130807,27348705,122942064,29405789,28834269,42210154,0,0,1,0,0,0,0,,,23304219,4044486.0,-71578779.0,28603081.0,6428415.0,52693506.0,55746790.0,109790698.0,4044486.0,-71578779.0,28603081.0,6428415.0,52693506.0,55746790.0,109790698.0
20130808,24953363,61905830,123922858,27609385,29843023,0,0,0,1,0,0,0,,,13675014,11278349.0,4044486.0,-71578779.0,28603081.0,6428415.0,52693506.0,55746790.0,11278349.0,4044486.0,-71578779.0,28603081.0,6428415.0,52693506.0,55746790.0
20130809,44702970,73104389,25835746,126301368,23202473,0,0,0,0,1,0,0,,,10561475,34141495.0,11278349.0,4044486.0,-71578779.0,28603081.0,6428415.0,52693506.0,34141495.0,11278349.0,4044486.0,-71578779.0,28603081.0,6428415.0,52693506.0
20130810,46197838,31370682,31021548,20662791,19218553,0,0,0,0,0,1,0,,,15546146,30651692.0,34141495.0,11278349.0,4044486.0,-71578779.0,28603081.0,6428415.0,30651692.0,34141495.0,11278349.0,4044486.0,-71578779.0,28603081.0,6428415.0
20130811,44403831,45251520,26260152,81375803,101209093,0,0,0,0,0,0,1,,,41942573,2461258.0,30651692.0,34141495.0,11278349.0,4044486.0,-71578779.0,28603081.0,2461258.0,30651692.0,34141495.0,11278349.0,4044486.0,-71578779.0,28603081.0
20130812,42840984,51533056,59130418,37844074,106271409,1,0,0,0,0,0,0,,,5443051,37397933.0,2461258.0,30651692.0,34141495.0,11278349.0,4044486.0,-71578779.0,37397933.0,2461258.0,30651692.0,34141495.0,11278349.0,4044486.0,-71578779.0
20130813,33901418,27348705,35410500,25115410,26323198,0,1,0,0,0,0,0,,,43533052,-9631634.0,37397933.0,2461258.0,30651692.0,34141495.0,11278349.0,4044486.0,-9631634.0,37397933.0,2461258.0,30651692.0,34141495.0,11278349.0,4044486.0
20130814,45856548,24953363,122942064,29405789,28834269,0,0,1,0,0,0,0,,,29325894,16530654.0,-9631634.0,37397933.0,2461258.0,30651692.0,34141495.0,11278349.0,16530654.0,-9631634.0,37397933.0,2461258.0,30651692.0,34141495.0,11278349.0
20130815,39066415,44702970,61905830,123922858,27609385,0,0,0,1,0,0,0,,,23721318,15345097.0,16530654.0,-9631634.0,37397933.0,2461258.0,30651692.0,34141495.0,15345097.0,16530654.0,-9631634.0,37397933.0,2461258.0,30651692.0,34141495.0
20130816,29238678,46197838,73104389,25835746,126301368,0,0,0,0,1,0,0,,,21981558,7257120.0,15345097.0,16530654.0,-9631634.0,37397933.0,2461258.0,30651692.0,7257120.0,15345097.0,16530654.0,-9631634.0,37397933.0,2461258.0,30651692.0
20130817,54635823,44403831,31370682,31021548,20662791,0,0,0,0,0,1,0,,,58314359,-3678536.0,7257120.0,15345097.0,16530654.0,-9631634.0,37397933.0,2461258.0,-3678536.0,7257120.0,15345097.0,16530654.0,-9631634.0,37397933.0,2461258.0
20130818,15688245,42840984,45251520,26260152,81375803,0,0,0,0,0,0,1,,,51457176,-35768931.0,-3678536.0,7257120.0,15345097.0,16530654.0,-9631634.0,37397933.0,-35768931.0,-3678536.0,7257120.0,15345097.0,16530654.0,-9631634.0,37397933.0
20130819,45069353,33901418,51533056,59130418,37844074,1,0,0,0,0,0,0,,,35585574,9483779.0,-35768931.0,-3678536.0,7257120.0,15345097.0,16530654.0,-9631634.0,9483779.0,-35768931.0,-3678536.0,7257120.0,15345097.0,16530654.0,-9631634.0
20130820,48319110,45856548,27348705,35410500,25115410,0,1,0,0,0,0,0,,,27409347,20909763.0,9483779.0,-35768931.0,-3678536.0,7257120.0,15345097.0,16530654.0,20909763.0,9483779.0,-35768931.0,-3678536.0,7257120.0,15345097.0,16530654.0
20130821,51304276,39066415,24953363,122942064,29405789,0,0,1,0,0,0,0,,,27002747,24301529.0,20909763.0,9483779.0,-35768931.0,-3678536.0,7257120.0,15345097.0,24301529.0,20909763.0,9483779.0,-35768931.0,-3678536.0,7257120.0,15345097.0
20130822,45762636,29238678,44702970,61905830,123922858,0,0,0,1,0,0,0,,,18370111,27392525.0,24301529.0,20909763.0,9483779.0,-35768931.0,-3678536.0,7257120.0,27392525.0,24301529.0,20909763.0,9483779.0,-35768931.0,-3678536.0,7257120.0
20130823,26545809,54635823,46197838,73104389,25835746,0,0,0,0,1,0,0,,,18620771,7925038.0,27392525.0,24301529.0,20909763.0,9483779.0,-35768931.0,-3678536.0,7925038.0,27392525.0,24301529.0,20909763.0,9483779.0,-35768931.0,-3678536.0
20130824,33855284,15688245,44403831,31370682,31021548,0,0,0,0,0,1,0,,,16009856,17845428.0,7925038.0,27392525.0,24301529.0,20909763.0,9483779.0,-35768931.0,17845428.0,7925038.0,27392525.0,24301529.0,20909763.0,9483779.0,-35768931.0
20130825,54574111,45069353,42840984,45251520,26260152,0,0,0,0,0,0,1,,,14426635,40147476.0,17845428.0,7925038.0,27392525.0,24301529.0,20909763.0,9483779.0,40147476.0,17845428.0,7925038.0,27392525.0,24301529.0,20909763.0,9483779.0
20130826,17586501,48319110,33901418,51533056,59130418,1,0,0,0,0,0,0,,,12426430,5160071.0,40147476.0,17845428.0,7925038.0,27392525.0,24301529.0,20909763.0,5160071.0,40147476.0,17845428.0,7925038.0,27392525.0,24301529.0,20909763.0
20130827,52044963,51304276,45856548,27348705,35410500,0,1,0,0,0,0,0,,,16794905,35250058.0,5160071.0,40147476.0,17845428.0,7925038.0,27392525.0,24301529.0,35250058.0,5160071.0,40147476.0,17845428.0,7925038.0,27392525.0,24301529.0
