attr1,attr2,attr3,attr4,attr5,attr6,attr7
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
82842472,11153102,13890524,13578221,19266060,18140022,26409341
7248800,82842472,11153102,13890524,13578221,19266060,18140022
23891010,7248800,82842472,11153102,13890524,13578221,19266060
27684033,23891010,7248800,82842472,11153102,13890524,13578221
18373172,27684033,23891010,7248800,82842472,11153102,13890524
16999575,18373172,27684033,23891010,7248800,82842472,11153102
97833349,16999575,18373172,27684033,23891010,7248800,82842472
80895799,97833349,16999575,18373172,27684033,23891010,7248800
-5841607,80895799,97833349,16999575,18373172,27684033,23891010
2202452,-5841607,80895799,97833349,16999575,18373172,27684033
19467084,2202452,-5841607,80895799,97833349,16999575,18373172
122887703,19467084,2202452,-5841607,80895799,97833349,16999575
16104903,122887703,19467084,2202452,-5841607,80895799,97833349
74307624,16104903,122887703,19467084,2202452,-5841607,80895799
28770766,74307624,16104903,122887703,19467084,2202452,-5841607
16439741,28770766,74307624,16104903,122887703,19467084,2202452
20057163,16439741,28770766,74307624,16104903,122887703,19467084
61270802,20057163,16439741,28770766,74307624,16104903,122887703
14113904,61270802,20057163,16439741,28770766,74307624,16104903
25298132,14113904,61270802,20057163,16439741,28770766,74307624
-6627066,25298132,14113904,61270802,20057163,16439741,28770766
44754656,-6627066,25298132,14113904,61270802,20057163,16439741
18982594,44754656,-6627066,25298132,14113904,61270802,20057163
109790698,18982594,44754656,-6627066,25298132,14113904,61270802
55746790,109790698,18982594,44754656,-6627066,25298132,14113904
52693506,55746790,109790698,18982594,44754656,-6627066,25298132
6428415,52693506,55746790,109790698,18982594,44754656,-6627066
28603081,6428415,52693506,55746790,109790698,18982594,44754656
-71578779,28603081,6428415,52693506,55746790,109790698,18982594
4044486,-71578779,28603081,6428415,52693506,55746790,109790698
11278349,4044486,-71578779,28603081,6428415,52693506,55746790
34141495,11278349,4044486,-71578779,28603081,6428415,52693506
30651692,34141495,11278349,4044486,-71578779,28603081,6428415
2461258,30651692,34141495,11278349,4044486,-71578779,28603081
37397933,2461258,30651692,34141495,11278349,4044486,-71578779
-9631634,37397933,2461258,30651692,34141495,11278349,4044486
16530654,-9631634,37397933,2461258,30651692,34141495,11278349
15345097,16530654,-9631634,37397933,2461258,30651692,34141495
7257120,15345097,16530654,-9631634,37397933,2461258,30651692
-3678536,7257120,15345097,16530654,-9631634,37397933,2461258
-35768931,-3678536,7257120,15345097,16530654,-9631634,37397933
9483779,-35768931,-3678536,7257120,15345097,16530654,-9631634
20909763,9483779,-35768931,-3678536,7257120,15345097,16530654
24301529,20909763,9483779,-35768931,-3678536,7257120,15345097
27392525,24301529,20909763,9483779,-35768931,-3678536,7257120
7925038,27392525,24301529,20909763,9483779,-35768931,-3678536
17845428,7925038,27392525,24301529,20909763,9483779,-35768931
40147476,17845428,7925038,27392525,24301529,20909763,9483779
5160071,40147476,17845428,7925038,27392525,24301529,20909763
35250058,5160071,40147476,17845428,7925038,27392525,24301529
25699234,35250058,5160071,40147476,17845428,7925038,27392525
-11435642,25699234,35250058,5160071,40147476,17845428,7925038
1012230,-11435642,25699234,35250058,5160071,40147476,17845428
11540727,1012230,-11435642,25699234,35250058,5160071,40147476
14826219,11540727,1012230,-11435642,25699234,35250058,5160071
42121003,14826219,11540727,1012230,-11435642,25699234,35250058
14731379,42121003,14826219,11540727,1012230,-11435642,25699234
37458871,14731379,42121003,14826219,11540727,1012230,-11435642
31612930,37458871,14731379,42121003,14826219,11540727,1012230
24563575,31612930,37458871,14731379,42121003,14826219,11540727
15905166,24563575,31612930,37458871,14731379,42121003,14826219
31971365,15905166,24563575,31612930,37458871,14731379,42121003
5416768,31971365,15905166,24563575,31612930,37458871,14731379
33035648,5416768,31971365,15905166,24563575,31612930,37458871
19424243,33035648,5416768,31971365,15905166,24563575,31612930
47431370,19424243,33035648,5416768,31971365,15905166,24563575
33238858,47431370,19424243,33035648,5416768,31971365,15905166
37416989,33238858,47431370,19424243,33035648,5416768,31971365
12115512,37416989,33238858,47431370,19424243,33035648,5416768
21571139,12115512,37416989,33238858,47431370,19424243,33035648
90122962,21571139,12115512,37416989,33238858,47431370,19424243
54187180,90122962,21571139,12115512,37416989,33238858,47431370
24191530,54187180,90122962,21571139,12115512,37416989,33238858
29766287,24191530,54187180,90122962,21571139,12115512,37416989
17891197,29766287,24191530,54187180,90122962,21571139,12115512
38422688,17891197,29766287,24191530,54187180,90122962,21571139
-16616873,38422688,17891197,29766287,24191530,54187180,90122962
10774031,-16616873,38422688,17891197,29766287,24191530,54187180
29286182,10774031,-16616873,38422688,17891197,29766287,24191530
52642732,29286182,10774031,-16616873,38422688,17891197,29766287
17349556,52642732,29286182,10774031,-16616873,38422688,17891197
29654195,17349556,52642732,29286182,10774031,-16616873,38422688
9098182,29654195,17349556,52642732,29286182,10774031,-16616873
-1422748,9098182,29654195,17349556,52642732,29286182,10774031
15050607,-1422748,9098182,29654195,17349556,52642732,29286182
13989358,15050607,-1422748,9098182,29654195,17349556,52642732
5306806,13989358,15050607,-1422748,9098182,29654195,17349556
-7448795,5306806,13989358,15050607,-1422748,9098182,29654195
10822049,-7448795,5306806,13989358,15050607,-1422748,9098182
8225266,10822049,-7448795,5306806,13989358,15050607,-1422748
25584298,8225266,10822049,-7448795,5306806,13989358,15050607
-25875749,25584298,8225266,10822049,-7448795,5306806,13989358
54289317,-25875749,25584298,8225266,10822049,-7448795,5306806
40728646,54289317,-25875749,25584298,8225266,10822049,-7448795
57509580,40728646,54289317,-25875749,25584298,8225266,10822049
37199459,57509580,40728646,54289317,-25875749,25584298,8225266
58588593,37199459,57509580,40728646,54289317,-25875749,25584298
-6506852,58588593,37199459,57509580,40728646,54289317,-25875749
116914829,-6506852,58588593,37199459,57509580,40728646,54289317
50489283,116914829,-6506852,58588593,37199459,57509580,40728646
116295125,50489283,116914829,-6506852,58588593,37199459,57509580
27836902,116295125,50489283,116914829,-6506852,58588593,37199459
50929556,27836902,116295125,50489283,116914829,-6506852,58588593
35025298,50929556,27836902,116295125,50489283,116914829,-6506852
50905595,35025298,50929556,27836902,116295125,50489283,116914829
5678244,50905595,35025298,50929556,27836902,116295125,50489283
50510527,5678244,50905595,35025298,50929556,27836902,116295125
55174525,50510527,5678244,50905595,35025298,50929556,27836902
8536035,55174525,50510527,5678244,50905595,35025298,50929556
10189085,8536035,55174525,50510527,5678244,50905595,35025298
61648207,10189085,8536035,55174525,50510527,5678244,50905595
32713766,61648207,10189085,8536035,55174525,50510527,5678244
108239732,32713766,61648207,10189085,8536035,55174525,50510527
95204148,108239732,32713766,61648207,10189085,8536035,55174525
60059826,95204148,108239732,32713766,61648207,10189085,8536035
11813392,60059826,95204148,108239732,32713766,61648207,10189085
43374531,11813392,60059826,95204148,108239732,32713766,61648207
38818586,43374531,11813392,60059826,95204148,108239732,32713766
75956142,38818586,43374531,11813392,60059826,95204148,108239732
26386662,75956142,38818586,43374531,11813392,60059826,95204148
41526920,26386662,75956142,38818586,43374531,11813392,60059826
45384964,41526920,26386662,75956142,38818586,43374531,11813392
