report_date,yesterday_redeem,week1_redeem,week2_redeem,week3_redeem,week4_redeem,MON,TUE,WED,THU,FRI,SAT,SUN,dayofmonth_percent,shouldwork,yesterday_purchase,relative_days
20130701,,,,,,1,0,0,0,0,0,0,,,,0
20130702,5525022,,,,,0,1,0,0,0,0,0,,,32488348,0
20130703,2554548,,,,,0,0,1,0,0,0,0,,,29037390,0
20130704,5953867,,,,,0,0,0,1,0,0,0,,,27270770,0
20130705,6410729,,,,,0,0,0,0,1,0,0,,,18321185,0
20130706,2763587,,,,,0,0,0,0,0,1,0,,,11648749,0
20130707,1616635,,,,,0,0,0,0,0,0,1,,,36751272,0
20130708,3982735,5525022,,,,1,0,0,0,0,0,0,,,8962232,1
20130709,8347729,2554548,,,,0,1,0,0,0,0,0,,,57258266,1
20130710,3473059,5953867,,,,0,0,1,0,0,0,0,,,26798941,1
20130711,2597169,6410729,,,,0,0,0,1,0,0,0,,,30696506,1
20130712,3508800,2763587,,,,0,0,0,0,1,0,0,,,44075197,1
20130713,8492573,1616635,,,,0,0,0,0,0,1,0,,,34183904,1
20130714,3482829,3982735,,,,0,0,0,0,0,0,1,,,15164717,1
20130715,2784107,8347729,5525022,,,1,0,0,0,0,0,0,,,22615303,2
20130716,13107943,3473059,2554548,,,0,1,0,0,0,0,0,,,48128555,2
20130717,11864981,2597169,5953867,,,0,0,1,0,0,0,0,,,50622847,2
20130718,10911513,3508800,6410729,,,0,0,0,1,0,0,0,,,29015682,2
20130719,11765356,8492573,2763587,,,0,0,0,0,1,0,0,,,24234505,2
20130720,9244769,3482829,1616635,,,0,0,0,0,0,1,0,,,33680124,2
20130721,4601143,2784107,3982735,,,0,0,0,0,0,0,1,,,20439079,2
20130722,2681331,13107943,8347729,5525022,,1,0,0,0,0,0,0,,,21142394,3
20130723,19144267,11864981,3473059,2554548,,0,1,0,0,0,0,0,,,40448896,3
20130724,24404051,10911513,2597169,5953867,,0,0,1,0,0,0,0,,,58136147,3
20130725,36258592,11765356,3508800,6410729,,0,0,0,1,0,0,0,,,48422518,3
20130726,38212836,9244769,8492573,2763587,,0,0,0,0,1,0,0,,,57433418,3
20130727,39192369,4601143,3482829,1616635,,0,0,0,0,0,1,0,,,44721817,3
20130728,15058893,2681331,2784107,3982735,,0,0,0,0,0,0,1,,,17194451,3
20130729,7683211,19144267,13107943,8347729,5525022,1,0,0,0,0,0,0,,,36255382,4
20130730,18599364,24404051,11864981,3473059,2554548,0,1,0,0,0,0,0,,,53512076,4
20130731,13048582,36258592,10911513,2597169,5953867,0,0,1,0,0,0,0,,,47481243,4
20130801,9534040,38212836,11765356,3508800,6410729,0,0,0,1,0,0,0,,,54569637,4
20130802,18864468,39192369,9244769,8492573,2763587,0,0,0,0,1,0,0,,,53369962,4
20130803,40150769,15058893,4601143,3482829,1616635,0,0,0,0,0,1,0,,,38064536,4
20130804,20701797,7683211,2681331,2784107,3982735,0,0,0,0,0,0,1,,,21595789,4
20130805,8263965,18599364,19144267,13107943,8347729,1,0,0,0,0,0,0,,,45745254,5
20130806,15797507,13048582,24404051,11864981,3473059,0,1,0,0,0,0,0,,,43632203,5
20130807,16401387,9534040,36258592,10911513,2597169,0,0,1,0,0,0,0,,,50866184,5
20130808,29708706,18864468,38212836,11765356,3508800,0,0,0,1,0,0,0,,,43908081,5
20130809,29551691,40150769,39192369,9244769,8492573,0,0,0,0,1,0,0,,,44493490,5
20130810,30131015,20701797,15058893,4601143,3482829,0,0,0,0,0,1,0,,,33425186,5
20130811,26614408,8263965,7683211,2681331,2784107,0,0,0,0,0,0,1,,,20615307,5
20130812,15372680,15797507,18599364,19144267,13107943,1,0,0,0,0,0,0,,,55519543,6
20130813,28586669,16401387,13048582,24404051,11864981,0,1,0,0,0,0,0,,,94520502,6
20130814,28790328,29708706,9534040,36258592,10911513,0,0,1,0,0,0,0,,,48720919,6
20130815,15031683,29551691,18864468,38212836,11765356,0,0,0,1,0,0,0,,,30541167,6
