report_date,total_purchase_amt
20130701,32488348
20130702,29037390
20130703,27270770
20130704,18321185
20130705,11648749
20130706,36751272
20130707,8962232
20130708,57258266
20130709,26798941
20130710,30696506
20130711,44075197
20130712,34183904
20130713,15164717
20130714,22615303
20130715,48128555
20130716,50622847
20130717,29015682
20130718,24234505
20130719,33680124
20130720,20439079
20130721,21142394
20130722,40448896
20130723,58136147
20130724,48422518
20130725,57433418
20130726,44721817
20130727,17194451
20130728,36255382
20130729,53512076
20130730,47481243
20130731,54569637
20130801,53369962
20130802,38064536
20130803,21595789
20130804,45745254
20130805,43632203
20130806,50866184
20130807,43908081
20130808,44493490
20130809,33425186
20130810,20615307
20130811,55519543
20130812,94520502
20130813,48720919
20130814,30541167
20130815,42421222
20130816,41683536
20130817,17670519
20130818,59703092
20130819,109184209
20130820,53675509
20130821,38184446
20130822,89130737
20130823,37878575
20130824,44367268
20130825,43306288
20130826,74496541
20130827,45268028
20130828,46602319
20130829,47518666
20130830,56488844
20130831,47655303
20130901,56239802
20130902,140844739
20130903,80507880
20130904,33366708
20130905,38716505
20130906,38923186
20130907,34076183
20130908,38796909
20130909,49312473
20130910,94684143
20130911,98944459
20130912,68573684
20130913,71655946
20130914,30975443
20130915,37059683
20130916,161656210
20130917,76204815
20130918,42926608
20130919,24778048
20130920,28365762
20130921,32406340
20130922,67514169
20130923,54658160
20130924,74250859
20130925,47274168
20130926,68718693
20130927,42166121
20130928,39995798
20130929,34433848
20130930,28398050
20131001,19137499
20131002,11562708
20131003,10101194
20131004,19907689
20131005,26364686
20131006,38730653
20131007,42797733
20131008,109806912
20131009,72422299
20131010,72094613
20131011,82674757
20131012,81901136
20131013,71149981
20131014,130315300
20131015,85704304
20131016,100948091
20131017,87203217
20131018,98151450
20131019,53148443
20131020,47766681
20131021,106030290
20131022,145611496
20131023,106093112
20131024,69530830
20131025,69936453
20131026,55752506
20131027,68007543
20131028,129993375
20131029,102050144
20131030,109663260
20131031,90926701
20131101,150904945
20131102,62132300
20131103,68707870
20131104,300027403
20131105,180904814
20131106,181474910
20131107,167963464
20131108,231749471
20131109,126467028
20131110,164813471
20131111,147986439
20131112,148469647
20131113,174554976
20131114,167996058
20131115,124270704
20131116,118085705
20131117,111786622
20131118,195766477
20131119,131365419
20131120,166163002
20131121,221166938
20131122,128528687
20131123,89109018
20131124,102394991
20131125,147143602
20131126,258037702
20131127,134774128
20131128,139760425
20131129,122536344
20131130,116865492
20131201,137889992
20131202,345313258
20131203,268666856
20131204,219456372
20131205,190825287
20131206,152197159
20131207,138882605
20131208,124886903
20131209,174652812
20131210,179471612
20131211,239916977
20131212,140360007
20131213,164672690
20131214,129045596
