report_date,yesterday_purchase,week1_purchase,week2_purchase,week3_purchase,week4_purchase,MON,TUE,WED,THU,FRI,SAT,SUN,dayofmonth_percent,shouldwork,yesterday_redeem
20130701,,,,,,1,0,0,0,0,0,0,,,
20130702,32488348,,,,,0,1,0,0,0,0,0,,,5525022
20130703,29037390,,,,,0,0,1,0,0,0,0,,,2554548
20130704,27270770,,,,,0,0,0,1,0,0,0,,,5953867
20130705,18321185,,,,,0,0,0,0,1,0,0,,,6410729
20130706,11648749,,,,,0,0,0,0,0,1,0,,,2763587
20130707,36751272,,,,,0,0,0,0,0,0,1,,,1616635
20130708,8962232,32488348,,,,1,0,0,0,0,0,0,,,3982735
20130709,57258266,29037390,,,,0,1,0,0,0,0,0,,,8347729
20130710,26798941,27270770,,,,0,0,1,0,0,0,0,,,3473059
20130711,30696506,18321185,,,,0,0,0,1,0,0,0,,,2597169
20130712,44075197,11648749,,,,0,0,0,0,1,0,0,,,3508800
20130713,34183904,36751272,,,,0,0,0,0,0,1,0,,,8492573
20130714,15164717,8962232,,,,0,0,0,0,0,0,1,,,3482829
20130715,22615303,57258266,32488348,,,1,0,0,0,0,0,0,,,2784107
20130716,48128555,26798941,29037390,,,0,1,0,0,0,0,0,,,13107943
20130717,50622847,30696506,27270770,,,0,0,1,0,0,0,0,,,11864981
20130718,29015682,44075197,18321185,,,0,0,0,1,0,0,0,,,10911513
20130719,24234505,34183904,11648749,,,0,0,0,0,1,0,0,,,11765356
20130720,33680124,15164717,36751272,,,0,0,0,0,0,1,0,,,9244769
20130721,20439079,22615303,8962232,,,0,0,0,0,0,0,1,,,4601143
20130722,21142394,48128555,57258266,32488348,,1,0,0,0,0,0,0,,,2681331
20130723,40448896,50622847,26798941,29037390,,0,1,0,0,0,0,0,,,19144267
20130724,58136147,29015682,30696506,27270770,,0,0,1,0,0,0,0,,,24404051
20130725,48422518,24234505,44075197,18321185,,0,0,0,1,0,0,0,,,36258592
20130726,57433418,33680124,34183904,11648749,,0,0,0,0,1,0,0,,,38212836
20130727,44721817,20439079,15164717,36751272,,0,0,0,0,0,1,0,,,39192369
