report_date,total_redeem_amt
20130701,5525022
20130702,2554548
20130703,5953867
20130704,6410729
20130705,2763587
20130706,1616635
20130707,3982735
20130708,8347729
20130709,3473059
20130710,2597169
20130711,3508800
20130712,8492573
20130713,3482829
20130714,2784107
20130715,13107943
20130716,11864981
20130717,10911513
20130718,11765356
20130719,9244769
20130720,4601143
20130721,2681331
20130722,19144267
20130723,24404051
20130724,36258592
20130725,38212836
20130726,39192369
20130727,15058893
20130728,7683211
20130729,18599364
20130730,13048582
20130731,9534040
20130801,18864468
20130802,40150769
20130803,20701797
20130804,8263965
20130805,15797507
20130806,16401387
20130807,29708706
20130808,29551691
20130809,30131015
20130810,26614408
20130811,15372680
20130812,28586669
20130813,28790328
20130814,15031683
20130815,52659327
20130816,33739844
20130817,4674983
20130818,15218300
20130819,28339260
20130820,30131225
20130821,29983342
20130822,25000672
20130823,25680323
20130824,14316598
20130825,18117808
20130826,20637986
20130827,60137633
20130828,33696861
20130829,35944968
20130830,20630752
20130831,22012016
20130901,59339949
20130902,17785524
20130903,39328144
20130904,27452600
20130905,21800904
20130906,33417903
20130907,20344424
20130908,14919122
20130909,45621186
20130910,37128363
20130911,71674082
20130912,45147220
20130913,60512675
20130914,36312660
20130915,25020715
20130916,45184589
20130917,58260798
20130918,47203221
20130919,11418512
20130920,15188254
20130921,26596179
20130922,47962055
20130923,58285879
20130924,56680792
20130925,74838162
20130926,48467529
20130927,27639603
20130928,58105720
20130929,40295202
20130930,30181353
20131001,12813267
20131002,7233874
20131003,6223263
20131004,23412350
20131005,13966453
20131006,13464528
20131007,28894400
20131008,77856096
20131009,33999376
20131010,52244531
20131011,27666473
20131012,31322983
20131013,31850475
20131014,40652625
20131015,35099198
20131016,51261982
20131017,23274764
20131018,15938355
20131019,26684697
20131020,50884342
20131021,45781403
20131022,96172537
20131023,73788462
20131024,58183921
20131025,52225802
20131026,49357211
20131027,46520570
20131028,55089464
20131029,43052468
20131030,63908701
20131031,55607833
20131101,66933119
20131102,26705506
20131103,30895754
20131104,130970051
20131105,82689864
20131106,131707820
20131107,83306452
20131108,92856307
20131109,45885771
20131110,85293644
20131111,227124951
20131112,131263524
20131113,79121440
20131114,52554150
20131115,58210254
20131116,28996272
20131117,42358155
20131118,136916782
20131119,70308235
20131120,86951218
20131121,74733962
20131122,82717921
20131123,48882131
20131124,85555947
20131125,70113127
20131126,65802983
20131127,86129498
20131128,61453591
20131129,123982166
20131130,119660311
20131201,94632233
20131202,128465086
20131203,101662045
20131204,69981329
20131205,118256819
20131206,82625571
20131207,71916047
20131208,76314292
20131209,133355299
20131210,147147341
20131211,110314592
20131212,92090275
20131213,90778214
20131214,52234651
20131215,54757146
20131216,156157326
20131217,116537843
20131218,202220872
20131219,164023344
20131220,153678963
20131221,83151594
20131222,83998249
20131223,138478245
20131224,118607911
20131225,172755480
20131226,241852564
20131227,163522548
