report_date,purchase,redeem
20140901,252983418,310492251
20140902,267384999,273730081
20140903,253694586,283637453
20140904,250266070,274870968
20140905,255730007,261289882
20140906,168878876,204651331
20140907,199988522,166301805
20140908,163825841,240040647
20140909,298037227,267475144
20140910,261306690,264004674
20140911,246710616,268944308
20140912,213045215,246596738
20140913,162610920,183328416
20140914,156802871,166301805
20140915,267865112,290746646
20140916,286389785,267475144
20140917,260150681,281449853
20140918,224828498,281449853
20140919,205206596,259102282
20140920,166919939,192185044
20140921,167193189,166301805
20140922,269267894,295575392
20140923,279963313,276128853
20140924,224819332,271189219
20140925,231225446,271189219
20140926,205892550,281509449
20140927,174815761,208604596
20140928,234391820,200770990
20140929,223909320,308761430
20140930,293471634,287659614
