RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           11     M =           12

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     3.385D-02  1.947D+01
    1    3     1     0  ---    1  3.8D-01  1.5D-02  2.991D-02  1.947D+01
    2    4     0     0  con    0  1.0D+00  5.9D-03  1.050D-02  1.947D+01
    3    5     0     0  con    0  1.0D+00  5.0D-03  9.189D-03  1.947D+01
    4    6     0     0  con    0  1.0D+00  2.8D-02  2.214D-02  1.947D+01
    5    7     0     0  con    0  1.0D+00  4.1D-02  2.587D-02  1.947D+01
    6    8     0     0  con    0  1.0D+00  8.6D-02  2.971D-02  1.947D+01
    7    9     0     0  con    0  1.0D+00  7.8D-02  8.224D-03  1.947D+01
    8   10     0     0  con    0  1.0D+00  1.3D-02  6.171D-03  1.947D+01
    9   11     0     0  con    0  1.0D+00  3.0D-02  9.879D-03  1.947D+01
   10   12     0     0  con    0  1.0D+00  2.7D-02  7.046D-03  1.947D+01
   11   13     0     0  con    0  1.0D+00  8.4D-02  5.256D-03  1.947D+01
   12   14     0     0  con    0  1.0D+00  1.3D-01  1.333D-02  1.947D+01
   13   15     0     0  con    0  1.0D+00  2.7D-01  1.783D-02  1.947D+01
   14   16     0     0  con    0  1.0D+00  1.0D-01  1.511D-02  1.947D+01
   15   17     0     0  con    0  1.0D+00  2.7D-01  5.600D-02  1.947D+01
   16   19     0     0  con    1  3.3D-01  2.7D-02  9.605D-03  1.947D+01
   17   20     0     0  con    0  1.0D+00  2.1D-01  3.359D-02  1.947D+01
   18   21     0     0  con    0  1.0D+00  3.8D-02  1.023D-02  1.947D+01
   19   22     0     0  con    0  1.0D+00  1.1D-01  2.539D-02  1.947D+01
   20   23     0     0  con    0  1.0D+00  1.4D-01  2.099D-02  1.947D+01
   21   25     0     0  con    1  2.8D-01  7.9D-02  3.021D-02  1.947D+01
   22   26     0     0  con    0  1.0D+00  9.9D-02  6.385D-02  1.947D+01
   23   27     0     0  con    0  1.0D+00  4.7D-02  3.212D-02  1.947D+01
   24   28     0     0  con    0  1.0D+00  1.4D-01  7.483D-02  1.947D+01
   25   29     0     0  con    0  1.0D+00  1.3D-01  4.243D-02  1.947D+01
   26   30     0     0  con    0  1.0D+00  2.0D-01  9.986D-02  1.946D+01
   27   32     0     0  con    1  2.9D-01  1.3D-02  1.082D-02  1.946D+01
